"","id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"1","HALLMARK_PANCREAS_BETA_CELLS",0.00532850108126963,383,1.4050124032389,1.49343426514292e-10,7.46717132571462e-09,296615,31,36,1.3723200312989,0.00189068834748696,0.023633604343587
"2","HALLMARK_APICAL_JUNCTION",0.0172714205541232,1067,1.20759916093024,8.76900996260588e-10,2.12276363154018e-08,218721,118,179,1.05057046187741,0.211160274754178,0.621059631629935
"3","HALLMARK_KRAS_SIGNALING_DN",0.0194667122465564,1188,1.19291712672633,1.27365817892411e-09,2.12276363154018e-08,283895,126,183,1.09727545601478,0.0492382085447041,0.239431323795779
"4","HALLMARK_MTORC1_SIGNALING",0.0154535462907787,937,1.18521701038194,1.80077175060411e-07,2.25096468825514e-06,294012,115,189,0.969688501378642,0.733368901746575,0.99998291242
"5","HALLMARK_KRAS_SIGNALING_UP",0.0267661963921638,1556,1.13634282701066,2.89288328847448e-07,2.89288328847448e-06,293298,151,190,1.2665418828762,4.35301079404482e-07,1.08825269851121e-05
"6","HALLMARK_P53_PATHWAY",0.0155836181715898,910,1.14145694837206,4.32168608861527e-05,0.000360140507384606,262089,113,192,0.937936473004695,0.883910243782619,0.99998291242
"7","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0224556711982548,1279,1.11334803326596,7.02156005373267e-05,0.000501540003838048,231382,137,190,1.14911415863603,0.0040033137077824,0.040033137077824
"8","HALLMARK_ANGIOGENESIS",0.00424768605829688,274,1.26091146666594,0.000115389714245184,0.000721185714032402,156570,27,35,1.22939637826962,0.0526748912350714,0.239431323795779
"9","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0290676407150137,1628,1.0947905989381,0.000133058020273413,0.000739211223741185,270427,146,196,1.18711555044553,0.000304524047453514,0.0050754007908919
"10","HALLMARK_ESTROGEN_RESPONSE_LATE",0.0184162181336891,1035,1.09856647581702,0.00136941551988634,0.00684707759943171,184723,135,190,1.13233876945886,0.00970326897578278,0.0808605747981898
"11","HALLMARK_UV_RESPONSE_DN",0.02749707932105,1507,1.07130499110205,0.00376468920957884,0.0171122236799038,267065,116,136,1.35929991714996,4.85970319541451e-09,2.42985159770726e-07
"12","HALLMARK_MYOGENESIS",0.0176287050595731,980,1.08665606008789,0.00495974590243065,0.0206656079267944,273311,115,186,0.985328638497653,0.634108982690107,0.990795285453292
"13","HALLMARK_GLYCOLYSIS",0.0186303009903435,1022,1.07230286616901,0.01332612121679,0.0512543123722692,222456,122,192,1.01263937793427,0.441446340314396,0.892332211696068
