"","id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"1","HALLMARK_MYOGENESIS",0.0176287050595731,1306,1.99149777383425,0,0,291888,99,186,1.052654577234,0.255918093404155,0.387754686975992
"2","HALLMARK_UV_RESPONSE_UP",0.013167365735952,944,1.92721494905653,0,0,413930,79,147,1.06285345687325,0.244891224221165,0.382642537845571
"3","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00596587096427237,427,1.9240266328918,0,0,335162,48,79,1.20164941382753,0.0438140808000436,0.136919002500136
"4","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.00764293492517205,546,1.9203904649899,0,0,297545,48,109,0.870920217361238,0.928396402467885,0.999942938495322
"5","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0290676407150137,2004,1.85329687641662,0,0,249934,138,196,1.39247256691621,1.10017686072439e-08,2.75044215181097e-07
"6","HALLMARK_P53_PATHWAY",0.0155836181715898,1009,1.74052364574917,0,0,354598,100,192,1.03005971888428,0.36295702798189,0.50410698330818
"7","HALLMARK_BILE_ACID_METABOLISM",0.010124933897017,651,1.72840634595706,0,0,188969,60,109,1.08865027170155,0.199759796246642,0.344906556013436
"8","HALLMARK_XENOBIOTIC_METABOLISM",0.0132111435434146,845,1.71938588728481,0,0,278002,102,187,1.07875345104971,0.153550112658937,0.319896068039453
"9","HALLMARK_G2M_CHECKPOINT",0.0186070679967809,1181,1.70619636760877,0,0,318844,93,195,0.943217761046033,0.810093180054593,0.941968814016969
"10","HALLMARK_UV_RESPONSE_DN",0.02749707932105,1737,1.69812756627396,0,0,309970,103,136,1.49782801475408,1.37331246374828e-09,6.86656231874139e-08
"11","HALLMARK_COMPLEMENT",0.0176929933000129,1111,1.68798975342559,0,0,282383,104,185,1.11179634955034,0.0703868023125533,0.175967005781383
"12","HALLMARK_FATTY_ACID_METABOLISM",0.0117300484586203,715,1.6385635724635,0,0,351572,73,147,0.982130409515784,0.619036842872726,0.764221411707025
"13","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0229177031415612,1389,1.62925182540242,0,0,279439,131,190,1.36358221312512,1.84564073579807e-07,3.07606789299679e-06
"14","HALLMARK_MITOTIC_SPINDLE",0.0177895543338286,1062,1.60478371526636,0,0,332749,94,188,0.988857330128905,0.590488101129564,0.757036027089184
"15","HALLMARK_SPERMATOGENESIS",0.0131276047095482,766,1.56855712104779,0,0,303368,60,129,0.919867283840842,0.844257648300708,0.959383691250805
"16","HALLMARK_ADIPOGENESIS",0.0147749761482945,799,1.45370756663693,0,0,275829,101,191,1.04580722872272,0.284151371113558,0.417869663402291
"17","HALLMARK_KRAS_SIGNALING_UP",0.0267661963921638,1359,1.36486550159258,0,0,277274,112,190,1.16581074709934,0.0120414040538905,0.0463130925149636
"18","HALLMARK_INFLAMMATORY_RESPONSE",0.0205773940791319,1044,1.36385180849956,0,0,267256,118,190,1.22826489426538,0.000843631060432948,0.00727344605319739
"19","HALLMARK_ESTROGEN_RESPONSE_LATE",0.0184162181336891,929,1.35603944839718,0,0,288486,112,190,1.16581074709934,0.0120414040538905,0.0463130925149636
"20","HALLMARK_COAGULATION",0.00974464651190241,528,1.45654830780781,2.22044604925031e-16,5.55111512312578e-16,153712,69,126,1.08303421871261,0.195924759750774,0.344906556013436
"21","HALLMARK_ANGIOGENESIS",0.00424768605829688,264,1.67073886726786,7.88258347483861e-15,1.87680558924729e-14,156385,23,35,1.29964106245513,0.0512573391910773,0.142691090967565
"22","HALLMARK_IL2_STAT5_SIGNALING",0.0212862136466349,939,1.18583492127363,1.48258159970993e-07,3.36950363570439e-07,260787,108,191,1.11828891784211,0.0558268197021112,0.146912683426609
"23","HALLMARK_ALLOGRAFT_REJECTION",0.0152371343819206,662,1.16791638628891,4.59095313125601e-05,9.98033289403481e-05,185784,95,169,1.11173309304433,0.0808277090080773,0.192446926209708
"24","HALLMARK_PEROXISOME",0.00773974173152368,337,1.17047055304813,0.0024873107002108,0.00518189729210583,157770,53,97,1.08060697931612,0.241113701560541,0.382642537845571
"25","HALLMARK_HYPOXIA",0.0207559614427185,846,1.09568210302536,0.00421328270839361,0.00842656541678721,223420,117,190,1.2178558697377,0.00138341695723398,0.00864635598271241
"26","HALLMARK_ANDROGEN_RESPONSE",0.0113306166864936,458,1.08659822299569,0.0402785403665509,0.0774587314741363,209826,69,98,1.39247256691621,4.98572652829488e-05,0.000623215816036859
"27","HALLMARK_TGF_BETA_SIGNALING",0.00689465865349119,283,1.10339427432978,0.0532494990297872,0.0986101833884947,222636,32,50,1.265737382565,0.0384708723224788,0.128236241074929
"28","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0162880648942216,630,1.03974805975729,0.166897745341302,0.298031688109468,164233,92,176,1.03380539058931,0.352106791672414,0.503009702389162
"29","HALLMARK_MYC_TARGETS_V2",0.00298387329839185,117,1.05405323075134,0.29659215142852,0.511365778325035,210608,24,56,0.847591997253347,0.901470229688617,0.999942938495322
