"","id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0290676407150137,4783,1.82860741432236,0,0,253541,168,196,1.23953305261716,5.48767539187978e-08,1.37191884796994e-06
"2","HALLMARK_ANGIOGENESIS",0.00424768605829688,663,1.73456666711908,0,0,156118,33,35,1.36348635787888,0.000330372246840294,0.00275310205700245
"3","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00596587096427237,909,1.69324540782583,0,0,247118,62,79,1.13493110724863,0.043453693787983,0.109078909655162
"4","HALLMARK_P53_PATHWAY",0.0155836181715898,2289,1.6323277847757,0,0,320230,135,192,1.01680445722502,0.396395518452944,0.53602511391361
"5","HALLMARK_XENOBIOTIC_METABOLISM",0.0132111435434146,1902,1.59992631018127,0,0,245674,137,187,1.05945828650612,0.12557152348881,0.260786094367447
"6","HALLMARK_COMPLEMENT",0.0176929933000129,2533,1.59097646677372,0,0,236183,145,185,1.13344689045624,0.00321163244440881,0.0169431537276675
"7","HALLMARK_UV_RESPONSE_UP",0.013167365735952,1866,1.57486241976946,0,0,351588,104,147,1.02310664660464,0.374015977298475,0.53602511391361
"8","HALLMARK_INFLAMMATORY_RESPONSE",0.0205773940791319,2913,1.57318569522681,0,0,254284,157,190,1.19495335511076,1.57193307177561e-05,0.000157193307177561
"9","HALLMARK_SPERMATOGENESIS",0.0131276047095482,1858,1.57286010780928,0,0,304909,93,129,1.04255299386793,0.266648694227871,0.444414490379785
"10","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0229177031415612,3203,1.55315832216032,0,0,262366,157,190,1.19495335511076,1.57193307177561e-05,0.000157193307177561
"11","HALLMARK_UV_RESPONSE_DN",0.02749707932105,3777,1.52647711369526,0,0,326517,123,136,1.30788965478355,2.54319409975778e-09,1.27159704987889e-07
"12","HALLMARK_MYOGENESIS",0.0176287050595731,2411,1.51987082190212,0,0,260225,136,186,1.05737944990281,0.135608769071073,0.260786094367447
"13","HALLMARK_BILE_ACID_METABOLISM",0.010124933897017,1375,1.50917770465932,0,0,241608,78,109,1.03483952099231,0.333131867810783,0.520518543454349
"14","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.00764293492517205,1024,1.48891420659584,0,0,265634,71,109,0.941969307569925,0.844651072544253,0.938501191715837
"15","HALLMARK_G2M_CHECKPOINT",0.0186070679967809,2300,1.37366163918097,0,0,303059,137,195,1.01599333116227,0.401678553338069,0.53602511391361
