"","id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"1","HALLMARK_P53_PATHWAY",0.0155836181715898,274,1.57394739231193,1.07447384323223e-12,5.37236921616113e-11,188807,89,192,1.04742365618239,0.302422662166775,0.581582042628414
"2","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0224556711982548,325,1.29558308283655,3.21412221615525e-06,8.03530554038812e-05,223093,105,190,1.24873216491053,0.00141327310926642,0.0176659138658303
"3","HALLMARK_ESTROGEN_RESPONSE_LATE",0.0184162181336891,263,1.27838965121213,6.05905398682882e-05,0.00100984233113814,186390,90,190,1.0703418556376,0.213026597353734,0.532566493384335
"4","HALLMARK_GLYCOLYSIS",0.0186303009903435,264,1.26850447502131,9.4338673661376e-05,0.0011792334207672,216020,86,192,1.01211724080546,0.468095753994399,0.7972960175748
"5","HALLMARK_MYC_TARGETS_V2",0.00298387329839185,56,1.68002443009195,0.000204895558346019,0.00204895558346019,183260,18,56,0.726303402039797,0.976517781144951,0.999996635105398
"6","HALLMARK_ANGIOGENESIS",0.00424768605829688,73,1.53843232746607,0.000334429943886994,0.00278691619905828,145945,20,35,1.29120604807075,0.0863836399371157,0.269948874803487
"7","HALLMARK_MYOGENESIS",0.0176287050595731,245,1.24409521801935,0.000469707999963154,0.00335505714259396,199904,87,186,1.05691462805791,0.266791919914884,0.581582042628414
"8","HALLMARK_UV_RESPONSE_UP",0.013167365735952,183,1.24411389121929,0.0022147710834608,0.01384231927163,235241,62,147,0.953033035480792,0.722590148504164,0.97980322910362
"9","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.012207789419918,163,1.19524936968753,0.0139454295373578,0.0774746085408765,177424,73,187,0.882093971342451,0.936077020601845,0.999996635105398
"10","HALLMARK_XENOBIOTIC_METABOLISM",0.0132111435434146,172,1.16545627294714,0.0258534494122686,0.129267247061343,133008,85,187,1.02709572005628,0.397295124578067,0.709455579603691
"11","HALLMARK_PANCREAS_BETA_CELLS",0.00532850108126963,74,1.24318170319369,0.0381656580751981,0.173480263978173,243259,26,36,1.63194097742275,0.000631245385449342,0.0105207564241557
"12","HALLMARK_COMPLEMENT",0.0176929933000129,221,1.11814701520069,0.0524327067844181,0.218469611601742,202678,86,185,1.05041356883594,0.294071249788569,0.581582042628414
"13","HALLMARK_HEME_METABOLISM",0.0148565089744677,179,1.07855975099637,0.163232232176635,0.627816277602442,158898,95,190,1.12980529206191,0.063446370567376,0.226594180597771
"14","HALLMARK_APICAL_JUNCTION",0.0172714205541232,203,1.05214580232963,0.241832992739198,0.838440987110756,164355,86,179,1.08562296220474,0.170951293935299,0.502797923339114
"15","HALLMARK_ADIPOGENESIS",0.0147749761482945,174,1.05421795341567,0.251532296133227,0.838440987110756,159236,76,191,0.899112064886963,0.907361764948661,0.999996635105398
"16","HALLMARK_NOTCH_SIGNALING",0.00367379799587563,45,1.09649129721735,0.287958262649311,0.899869570779097,188231,18,30,1.35576635047429,0.0605909006355514,0.226594180597771
"17","HALLMARK_TGF_BETA_SIGNALING",0.00689465865349119,81,1.0516717242717,0.339569446226332,0.930059167822048,268841,25,50,1.12980529206191,0.248647890114201,0.581582042628414
