"","id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"1","HALLMARK_DNA_REPAIR",0.00744450355803454,201,1.99186909661762,0,0,31413,102,138,1.27513030220167,6.73780757288744e-05,0.000259146445111056
"2","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.00764293492517205,196,1.89189220396815,3.33066907387547e-16,8.32667268468867e-15,45354,93,109,1.47193940443032,6.27321306012618e-10,1.56830326503155e-08
"3","HALLMARK_P53_PATHWAY",0.0155836181715898,337,1.59537242154215,5.55111512312578e-16,8.32667268468867e-15,73220,142,192,1.27591163204371,2.60537369611846e-06,1.30268684805923e-05
"4","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.012207789419918,278,1.67999598864009,6.66133814775094e-16,8.32667268468867e-15,20725,142,187,1.31002691632295,1.83621921112653e-07,1.53018267593878e-06
"5","HALLMARK_MTORC1_SIGNALING",0.0154535462907787,323,1.54196616078371,1.37445610448594e-13,1.37445610448594e-12,30811,147,189,1.34180378205535,6.91363943872148e-09,8.64204929840184e-08
"6","HALLMARK_MYC_TARGETS_V1",0.0113358878606202,240,1.56191062328949,5.55395729406882e-11,4.62829774505735e-10,33240,134,184,1.25637838599282,1.86838615559015e-05,7.78494231495896e-05
"7","HALLMARK_ADIPOGENESIS",0.0147749761482945,294,1.46798297898145,2.49733789203788e-10,1.78381278002705e-09,28907,143,191,1.29162413425972,7.24780346739173e-07,4.52987716711983e-06
"8","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.00257097033189068,77,2.20950067305478,4.75984807124519e-10,2.97490504452824e-09,34604,34,43,1.36409288142504,0.00304167148418544,0.00563272497071377
"9","HALLMARK_MYC_TARGETS_V2",0.00298387329839185,81,2.00265029455806,1.23764136716886e-08,6.87578537316035e-08,15364,45,56,1.38630237686841,0.000339809147191339,0.000772293516343952
"10","HALLMARK_XENOBIOTIC_METABOLISM",0.0132111435434146,254,1.41838386863746,6.39852471007174e-08,3.19926235503587e-07,39387,118,187,1.08861391638104,0.0869517814582068,0.120766363136398
"11","HALLMARK_E2F_TARGETS",0.0126906565427381,241,1.40098482134109,3.36023187719192e-07,1.52737812599633e-06,21617,150,194,1.33389919423765,1.00757654442063e-08,1.00757654442063e-07
"12","HALLMARK_PEROXISOME",0.00773974173152368,154,1.46789411733976,3.93054980740715e-06,1.63772908641964e-05,35272,72,97,1.28054322646814,0.000621363856531998,0.00135079099246086
"13","HALLMARK_UV_RESPONSE_UP",0.013167365735952,240,1.34466103767269,5.88362949627275e-06,2.26293442164336e-05,73184,106,147,1.2440046725761,0.000254817910068983,0.000637044775172457
"14","HALLMARK_G2M_CHECKPOINT",0.0186070679967809,322,1.27666927069258,1.14099765162745e-05,4.02398016300746e-05,39889,163,195,1.44207043829685,1.13242748511766e-14,5.6621374255883e-13
"15","HALLMARK_HEME_METABOLISM",0.0148565089744677,264,1.31095455027724,1.20719404890224e-05,4.02398016300746e-05,41500,121,190,1.09866490124683,0.0620460536989719,0.0940091722711695
