"","id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"1","HALLMARK_P53_PATHWAY",0.0155836181715898,111,1.81613066239325,4.70192984547424e-09,2.35096492273712e-07,165270,49,192,1.12333860118324,0.197803492166443,0.760782662178626
"2","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0224556711982548,131,1.48743386734091,9.0340578344783e-06,0.000225851445861958,221860,58,190,1.34366258461617,0.00762725461115854,0.0584108593240928
"3","HALLMARK_ESTROGEN_RESPONSE_LATE",0.0184162181336891,107,1.4814115896143,6.61499940441956e-05,0.00110249990073659,178052,50,190,1.15832981432429,0.135706855459726,0.753926974776255
"4","HALLMARK_ANGIOGENESIS",0.00424768605829688,32,1.92083463484506,0.000523335632458322,0.00654169540572902,123838,10,35,1.25761522698065,0.258780669418532,0.808689591932913
"5","HALLMARK_GLYCOLYSIS",0.0186303009903435,101,1.38227328023037,0.0010193924036157,0.010193924036157,171267,45,192,1.03163749088257,0.433532179895436,0.945757102280024
"6","HALLMARK_MYC_TARGETS_V2",0.00298387329839185,23,1.96534984381518,0.00221871358324544,0.0184892798603786,176163,7,56,0.550206661804036,0.982352565989579,0.99999926358138
"7","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.012207789419918,67,1.39936234719393,0.00494049983350009,0.0352892845250006,139550,41,187,0.965068369367507,0.630837550671885,0.99999926358138
"8","HALLMARK_ADIPOGENESIS",0.0147749761482945,73,1.25976193723773,0.0304290426277961,0.190181516423726,124907,40,191,0.921812208258071,0.747679792047818,0.99999926358138
"9","HALLMARK_UV_RESPONSE_UP",0.013167365735952,63,1.21992761243855,0.0675210868637912,0.375117149243284,229732,28,147,0.838410151320436,0.879583006332929,0.99999926358138
"10","HALLMARK_NOTCH_SIGNALING",0.00367379799587563,20,1.38805646565981,0.0940326228510724,0.470163114255362,136992,11,30,1.61393954129184,0.05933279127835,0.370829945489688
"11","HALLMARK_XENOBIOTIC_METABOLISM",0.0132111435434146,60,1.15798584239405,0.141780189200679,0.644455405457634,111922,36,187,0.847377104810494,0.891436014646748,0.99999926358138
"12","HALLMARK_IL2_STAT5_SIGNALING",0.0212862136466349,93,1.11397884238884,0.15915906141312,0.663162755888001,152655,61,191,1.40576361759356,0.0020538032167301,0.0443023746245344
"13","HALLMARK_COMPLEMENT",0.0176929933000129,77,1.10963928232217,0.193171913830559,0.742968899348305,169300,40,185,0.951708820417792,0.667595360758799,0.99999926358138
"14","HALLMARK_ANDROGEN_RESPONSE",0.0113306166864936,49,1.10264304643415,0.264971368398705,0.919695060365056,120612,34,98,1.52710420419079,0.00456992315576099,0.0456992315576099
"15","HALLMARK_PANCREAS_BETA_CELLS",0.00532850108126963,24,1.14841430652122,0.275908518109517,0.919695060365056,253424,16,36,1.95629035308102,0.00314318552627191,0.0443023746245344
"16","HALLMARK_TGF_BETA_SIGNALING",0.00689465865349119,30,1.10943252987319,0.308877800016825,0.965243125052577,195525,14,50,1.23246292244104,0.23027083999493,0.767721072039392
"17","HALLMARK_KRAS_SIGNALING_DN",0.0194667122465564,80,1.04782749076805,0.351883459737639,0.999992668430626,152611,56,183,1.34695401359677,0.008177520305373,0.0584108593240928
"18","HALLMARK_PROTEIN_SECRETION",0.00915784483878251,38,1.05799283431889,0.385617864839208,0.999992668430626,112073,26,94,1.21747857080042,0.153238803396949,0.760782662178626
"19","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.00257097033189068,11,1.09090775927943,0.427399780891699,0.999992668430626,79229,9,43,0.921276270927688,0.668187249082535,0.99999926358138
"20","HALLMARK_MYOGENESIS",0.0176287050595731,69,0.997978280504631,0.523194357634813,0.999992668430626,130077,45,186,1.06491611962071,0.341770552109904,0.899396189762905
"21","HALLMARK_HYPOXIA",0.0207559614427185,81,0.995026332887284,0.533304854216937,0.999992668430626,157507,46,190,1.06566342917834,0.337572654314658,0.899396189762905
"22","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00596587096427237,23,0.982983868755858,0.560754972314746,0.999992668430626,168731,15,79,0.835756954639042,0.822452047137489,0.99999926358138
"23","HALLMARK_SPERMATOGENESIS",0.0131276047095482,50,0.971129001544775,0.601603640523597,0.999992668430626,123382,34,129,1.16012567450153,0.187131344950956,0.760782662178626
"24","HALLMARK_APOPTOSIS",0.0147220496113629,54,0.935228845851173,0.707930199286234,0.999992668430626,118474,34,155,0.965523948456115,0.623368621831982,0.99999926358138
"25","HALLMARK_APICAL_SURFACE",0.00541787071536947,19,0.89416439836322,0.717217535680204,0.999992668430626,175646,12,42,1.25761522698065,0.230316321611818,0.767721072039392
"26","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.00569097710603535,20,0.896056857493802,0.717647763627369,0.999992668430626,144489,10,39,1.12862904985443,0.390862501813546,0.930625004317966
"27","HALLMARK_COAGULATION",0.00974464651190241,35,0.915786770415998,0.721549745552339,0.999992668430626,168499,27,126,0.94321142023549,0.669261543536341,0.99999926358138
"28","HALLMARK_FATTY_ACID_METABOLISM",0.0117300484586203,42,0.91293928301779,0.74369101069138,0.999992668430626,93649,30,147,0.898296590700467,0.777204815756214,0.99999926358138
"29","HALLMARK_APICAL_JUNCTION",0.0172714205541232,61,0.900521708070026,0.811463658045738,0.999992668430626,166200,41,179,1.00819991660181,0.505508899228728,0.99999926358138
"30","HALLMARK_MTORC1_SIGNALING",0.0154535462907787,54,0.89095960289804,0.820558357160966,0.999992668430626,141643,41,189,0.954856005670496,0.660024263025709,0.99999926358138
"31","HALLMARK_KRAS_SIGNALING_UP",0.0267661963921638,95,0.904959942316709,0.850394589964661,0.999992668430626,177132,49,190,1.1351632180378,0.175969702783378,0.760782662178626
"32","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0162880648942216,56,0.876619135882402,0.85555305581942,0.999992668430626,115776,42,176,1.05039453617134,0.386417590224268,0.930625004317966
"33","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.00631000425621185,20,0.808151445648091,0.85643326037215,0.999992668430626,188322,13,69,0.829296997501735,0.818649096867089,0.99999926358138
"34","HALLMARK_PEROXISOME",0.00773974173152368,25,0.823580301286636,0.858334853050981,0.999992668430626,141647,16,97,0.726045904236254,0.948324012178046,0.99999926358138
"35","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.00610062818190482,19,0.794093159617122,0.869434833071429,0.999992668430626,85512,18,83,0.954575413250376,0.631132931704023,0.99999926358138
"36","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0290676407150137,101,0.885939368594852,0.902182715595296,0.999992668430626,180235,65,196,1.45973195988826,0.000500006080844884,0.0250003040422442
"37","HALLMARK_DNA_REPAIR",0.00744450355803454,22,0.753493221427716,0.928954726264328,0.999992668430626,97232,20,138,0.637920767309027,0.994269733908237,0.99999926358138
"38","HALLMARK_BILE_ACID_METABOLISM",0.010124933897017,31,0.78065996539184,0.933729655435512,0.999992668430626,181166,21,109,0.848024946633744,0.835736375637968,0.99999926358138
"39","HALLMARK_ALLOGRAFT_REJECTION",0.0152371343819206,48,0.803212299722796,0.949000724266137,0.999992668430626,155648,33,169,0.85949443027376,0.862343558243629,0.99999926358138
"40","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.00912531640112063,26,0.726470238270321,0.963473265283157,0.999992668430626,138208,16,98,0.718637272560374,0.953477463578261,0.99999926358138
"41","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.00764293492517205,21,0.700570012333036,0.964901640587681,0.999992668430626,150143,16,109,0.646114245054281,0.986625343413776,0.99999926358138
"42","HALLMARK_HEME_METABOLISM",0.0148565089744677,45,0.772303769920033,0.969483962141666,0.999992668430626,101620,31,190,0.718164484881057,0.988571267330296,0.99999926358138
"43","HALLMARK_MYC_TARGETS_V1",0.0113358878606202,31,0.697266120027367,0.9862951453894,0.999992668430626,175852,23,184,0.550206661804036,0.999861529866288,0.99999926358138
"44","HALLMARK_G2M_CHECKPOINT",0.0186070679967809,55,0.753662931855249,0.988241548001025,0.999992668430626,156418,36,195,0.812612915895192,0.937588671658893,0.99999926358138
"45","HALLMARK_UV_RESPONSE_DN",0.02749707932105,84,0.778906145234032,0.993000990507476,0.999992668430626,216421,45,136,1.45642939889304,0.00354418996996275,0.0443023746245344
"46","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0229177031415612,67,0.745411560276543,0.995290346992633,0.999992668430626,179206,46,190,1.06566342917834,0.337572654314658,0.899396189762905
