"","id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0290676407150137,1629,1.1559279728011,3.4978093754745e-09,1.74890468773725e-07,287620,150,196,1.22146716396159,2.15875510971575e-05,0.000359792518285958
"2","HALLMARK_PANCREAS_BETA_CELLS",0.00532850108126963,343,1.32772622845459,2.73012833673647e-07,6.82532084184118e-06,290273,31,36,1.37437675707975,0.00182548287048467,0.0181064209937861
"3","HALLMARK_KRAS_SIGNALING_UP",0.0267661963921638,1466,1.12970950526645,1.80477740929774e-06,3.00796234882957e-05,306086,153,190,1.28524060746948,6.44546811479074e-08,1.61136702869769e-06
"4","HALLMARK_KRAS_SIGNALING_DN",0.0194667122465564,1045,1.10724353694101,0.000555807947041909,0.00694759933802386,289667,128,183,1.11636314059994,0.023055353198957,0.128085295549761
"5","HALLMARK_ANGIOGENESIS",0.00424768605829688,253,1.22853513918772,0.000813461862496645,0.00813461862496645,171393,30,35,1.36804322363698,0.00253489893913006,0.0181064209937861
"6","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0224556711982548,1189,1.0921323883718,0.00126328850021995,0.0105274041684996,254426,138,190,1.15923662634502,0.00228410848411342,0.0181064209937861
"7","HALLMARK_MYOGENESIS",0.0176287050595731,939,1.09866339049325,0.00216036808795073,0.0154312006282195,241475,114,186,0.97822445561139,0.679977035845256,0.9999662291842
"8","HALLMARK_MYC_TARGETS_V2",0.00298387329839185,169,1.16822312608883,0.0257522035481449,0.160951272175906,320716,21,56,0.59851891034118,0.999961488136871,0.999999986901511
"9","HALLMARK_GLYCOLYSIS",0.0186303009903435,940,1.04070455397342,0.112072436158905,0.622624645327251,261316,122,192,1.01415704252255,0.430791343616267,0.76927025645762
"10","HALLMARK_HEDGEHOG_SIGNALING",0.0068652302857532,350,1.05155600409519,0.179346223332383,0.896731116661916,363712,27,36,1.19703782068236,0.0842942000469264,0.280980666823088
