"","id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"1","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0224556711982548,169,1.84053276633673,1.72750702631674e-13,8.63753513158372e-12,303749,56,190,1.45472077139413,0.00152589967906791,0.0127158306588993
"2","HALLMARK_ESTROGEN_RESPONSE_LATE",0.0184162181336891,138,1.8325740203749,3.77952114050117e-11,9.44880285125294e-10,240256,54,190,1.40276645813006,0.00429125352685644,0.0238402973714247
"3","HALLMARK_GLYCOLYSIS",0.0186303009903435,125,1.64086567834237,1.36661326477494e-07,2.2776887746249e-06,253642,47,192,1.20820837877136,0.0871942269684494,0.207605302305832
"4","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.00569097710603535,46,1.97675971844182,1.9397720556813e-05,0.000242471506960162,196829,18,39,2.27799681234796,0.000239973852519393,0.00299967315649241
"5","HALLMARK_UV_RESPONSE_UP",0.013167365735952,82,1.52299277531545,0.000193648739104102,0.00193648739104102,289941,32,147,1.0744293355292,0.355275876829353,0.538296783074778
"6","HALLMARK_APICAL_SURFACE",0.00541787071536947,39,1.7604303979205,0.000729661970938822,0.00608051642449018,303621,15,42,1.76273562860259,0.0145075433661581,0.0564481220710829
"7","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0290676407150137,150,1.26201455860653,0.0029003419531356,0.0207167282366829,225961,75,196,1.88864531635991,4.29012370073423e-09,2.14506185036711e-07
"8","HALLMARK_PANCREAS_BETA_CELLS",0.00532850108126963,35,1.60637107540727,0.00541331408735402,0.0338332130459626,286991,14,36,1.91942324003393,0.00786432551660821,0.039321627583041
"9","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.00912531640112063,53,1.42040053566133,0.00869187085316259,0.0456790150685055,207634,24,98,1.20873300247034,0.178045519571872,0.342395229945909
"10","HALLMARK_ALLOGRAFT_REJECTION",0.0152371343819206,82,1.31611380349744,0.00913580301370109,0.0456790150685055,178715,43,169,1.25581875552516,0.0589894728148266,0.163859646707852
"11","HALLMARK_NOTCH_SIGNALING",0.00367379799587563,24,1.59763975299127,0.0195638497429107,0.0889265897405032,112843,13,30,2.1387858960378,0.00347805191216666,0.0238402973714247
"12","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.00257097033189068,18,1.71221512648327,0.0219390359552603,0.0914126498135844,50219,8,43,0.918262280946464,0.66607197759729,0.81228289950889
"13","HALLMARK_COMPLEMENT",0.0176929933000129,89,1.23018827392089,0.0307152202257939,0.1181354624069,240235,37,185,0.987131952017448,0.564792762242691,0.743148371371962
"14","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0229177031415612,112,1.19517038291052,0.0342327152258597,0.122259697235213,225110,61,190,1.58460655455432,7.62782738035206e-05,0.00127130456339201
"15","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.012207789419918,63,1.2620786198091,0.0403458256752298,0.134486085584099,272357,31,187,0.818210976271147,0.914329113731452,0.972690546522821
"16","HALLMARK_FATTY_ACID_METABOLISM",0.0117300484586203,60,1.25093381825657,0.0507248450043659,0.152844715427392,227781,35,147,1.17515708573506,0.16516091057473,0.33032182114946
"17","HALLMARK_PROTEIN_SECRETION",0.00915784483878251,48,1.28183122251957,0.0536659927886451,0.152844715427392,212355,29,94,1.52270354300564,0.00980383318258826,0.0445628781026739
"18","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00596587096427237,33,1.35276691651616,0.0550240975538611,0.152844715427392,131969,22,79,1.37448752812556,0.0655053563945927,0.164820112602446
"19","HALLMARK_APOPTOSIS",0.0147220496113629,72,1.19604386840411,0.0741086270129485,0.195022702665654,197090,37,155,1.17818974918212,0.153277801844714,0.319328753843154
"20","HALLMARK_ADIPOGENESIS",0.0147749761482945,70,1.15865500239281,0.120861806669891,0.295370001859383,219548,42,191,1.08532832420767,0.301535042621439,0.471148504095998
"21","HALLMARK_XENOBIOTIC_METABOLISM",0.0132111435434146,63,1.16622682747932,0.124055400780941,0.295370001859383,152418,42,187,1.1085439033351,0.251247411728899,0.433185192636033
"22","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.00764293492517205,38,1.21592370189552,0.132151358359952,0.300343996272617,173620,29,109,1.31315718387642,0.0659280450409783,0.164820112602446
