"","id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"1","HALLMARK_UV_RESPONSE_UP",0.013167365735952,58,3.66763482239763,1.11022302462516e-16,4.77395900588817e-15,446272,10,147,1.7568682251788,0.0597861851330732,0.183522920585815
"2","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.00764293492517205,41,4.46663729127223,7.7715611723761e-15,1.24122934153093e-13,357468,7,109,1.65854807679724,0.130176890252234,0.21529254926331
"3","HALLMARK_G2M_CHECKPOINT",0.0186070679967809,67,2.99815340633307,8.65973959207622e-15,1.24122934153093e-13,312588,12,195,1.58929002523867,0.0770542937311827,0.19348905178798
"4","HALLMARK_UV_RESPONSE_DN",0.02749707932105,71,2.14995205398437,3.61574303830992e-09,3.88692376618316e-08,242101,22,136,4.17772929428547,1.24342601770522e-08,5.34673187613244e-07
"5","HALLMARK_BILE_ACID_METABOLISM",0.010124933897017,37,3.042751744994,5.98552518660256e-09,5.1475516604782e-08,91248,8,109,1.8954835163397,0.0609831529872613,0.183522920585815
"6","HALLMARK_KRAS_SIGNALING_UP",0.0267661963921638,66,2.05311968963201,6.89655695884639e-08,4.94253248717325e-07,325360,14,190,1.90296568811472,0.0161314256992134,0.173412826266545
"7","HALLMARK_FATTY_ACID_METABOLISM",0.0117300484586203,38,2.69737161460369,8.08169805521786e-08,4.96447166249097e-07,347113,8,147,1.40549458014304,0.210695512178605,0.301996900789334
"8","HALLMARK_MITOTIC_SPINDLE",0.0177895543338286,49,2.29344328265955,1.5504466754912e-07,8.33365088076521e-07,378548,8,188,1.09897714511185,0.443852647225559,0.563363016933364
"9","HALLMARK_MYOGENESIS",0.0176287050595731,41,1.93651309249183,7.245613473017e-05,0.000346179310377479,246754,10,186,1.3884926295768,0.185705635377242,0.275356631766256
"10","HALLMARK_PEROXISOME",0.00773974173152368,23,2.474334210087,9.86592836619282e-05,0.000424234919746291,102635,7,97,1.86372928217421,0.0822208784996989,0.19348905178798
"11","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0290676407150137,58,1.66140381209127,0.00017130386864006,0.000669642395592963,212312,19,196,2.50353722087979,0.000227032553622775,0.00488119990288965
"12","HALLMARK_TGF_BETA_SIGNALING",0.00689465865349119,19,2.29455157538414,0.000922393118611087,0.00330524200835639,227018,5,50,2.58259629101284,0.0433980078008465,0.176516426570589
"13","HALLMARK_APICAL_JUNCTION",0.0172714205541232,33,1.59089996845076,0.007358275769904,0.0243389121619901,180015,7,179,1.00995385682066,0.543411398422432,0.649074725893461
