"","id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"1","HALLMARK_PANCREAS_BETA_CELLS",0.00532850108126963,153,1.29719972000784,0.00108424791278516,0.0542123956392582,231706,29,36,1.55842891406046,0.000324522379421044,0.00405652974276305
"2","HALLMARK_MYOGENESIS",0.0176287050595731,421,1.07890239642417,0.0622605394266933,0.999999999284517,259315,100,186,1.04010828524614,0.31057534756899,0.789772367523339
"3","HALLMARK_DNA_REPAIR",0.00744450355803454,182,1.1044755845904,0.0970336144766477,0.999999999284517,249461,51,138,0.714961390858322,0.999825857315117,0.999996751195937
"4","HALLMARK_ALLOGRAFT_REJECTION",0.0152371343819206,356,1.05552171868323,0.158607875395051,0.999999999284517,192546,103,169,1.17907659933405,0.00935837082170776,0.0584898176356735
"5","HALLMARK_FATTY_ACID_METABOLISM",0.0117300484586203,272,1.04758572406859,0.228220136593089,0.999999999284517,203376,66,147,0.868596551679018,0.958865783977847,0.999996751195937
"6","HALLMARK_UV_RESPONSE_UP",0.013167365735952,304,1.04302605812036,0.237392411401239,0.999999999284517,290488,72,147,0.947559874558928,0.771394010803531,0.999996751195937
"7","HALLMARK_XENOBIOTIC_METABOLISM",0.0132111435434146,302,1.03273050456184,0.294313629860572,0.999999999284517,196608,91,187,0.941437050057545,0.817615909031728,0.999996751195937
"8","HALLMARK_HEDGEHOG_SIGNALING",0.0068652302857532,158,1.03973449083298,0.322241984187673,0.999999999284517,318260,31,36,1.66590677020256,1.51667148764467e-05,0.000758335743822336
"9","HALLMARK_P53_PATHWAY",0.0155836181715898,353,1.02335633047859,0.338211895124276,0.999999999284517,251251,89,192,0.896768362185652,0.94061117338866,0.999996751195937
"10","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.012207789419918,271,1.00288869391235,0.489179689582807,0.999999999284517,208665,72,187,0.7448732703752,0.999897011580582,0.999996751195937
"11","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00596587096427237,132,0.999586884415558,0.513577170980031,0.999999999284517,176364,43,79,1.05301089435425,0.354131562492458,0.843170386886806
"12","HALLMARK_TGF_BETA_SIGNALING",0.00689465865349119,147,0.963218995825481,0.686680636313666,0.999999999284517,291208,31,50,1.19945287454584,0.0930896695870028,0.358037190719242
"13","HALLMARK_ESTROGEN_RESPONSE_LATE",0.0184162181336891,398,0.976344525322727,0.691844731440094,0.999999999284517,184962,106,190,1.07930394483752,0.14368703058256,0.513167966366285
"14","HALLMARK_KRAS_SIGNALING_DN",0.0194667122465564,419,0.972393142350331,0.725107998740278,0.999999999284517,239270,117,183,1.23687631166811,0.000519728895503224,0.00519728895503224
