gene_symbol,correlation,p_value
HBD,1.0,0.0
CXADRP2,0.9999233235538871,8.059754725802735e-07
IFNE,0.9998459776262142,2.2945606534819007e-06
LINC01772,0.99922708437811,2.579179853945646e-05
BEND7,0.9991511708015145,2.9683083843039577e-05
CD8A,0.9988232462765293,4.8449082348429694e-05
NCKAP5L,0.9988072186199128,4.944215773938323e-05
HAND2,-0.9983147674326511,8.302594146238654e-05
OR7E145P,0.9980292284378661,0.00010499288315781608
EIF2AK3,-0.9980156798108591,0.0001060772310973889
RNF130,0.9978169968149415,0.00012239766998816488
SPATS2,-0.9975050016629974,0.00014954663555501754
CCDC40,0.9974948789770598,0.00015045743840861152
ZFP41,0.9974417152011799,0.00015527104125361303
APBB1IP,0.9974194138385553,0.00015730525170071818
RBMS3,0.9972069919601493,0.00017711694164248502
IRX3,0.9971296094105869,0.000184526301107448
CCND2,0.9970044210922857,0.00019672509458706816
MPDZ,0.9966164441498763,0.00023614205595751478
HOXA10,0.9964704754113165,0.0002515811590984602
ADAMTS9,0.996372497887145,0.00026212528576800414
RPS2P32,-0.9963333523388548,0.0002663781642781827
GULP1,0.9961258619385548,0.0002892970195034938
CNOT11,0.9958958347855608,0.0003154304148949378
LGALS17A,0.9958798342930042,0.00031727605389214836
ZNF345,0.9956830754943569,0.0003402625214710349
FFAR2,0.9953904701760293,0.0003754207643825714
CEP350,-0.9953897914898479,0.0003755036420148234
CAV1,0.995370799143097,0.00037782535547477845
LINC01480,0.9952894538220777,0.00038782308206304617
RILPL1,0.9952827593931374,0.0003886497214855257
SULT1A3,0.9951692771787115,0.000402751431418365
ANOS1,0.9951597540553456,0.0004039423960380487
BMPR1A,0.9951433418011315,0.00040599766091238494
ZNF532,0.9950211470616325,0.0004214084079868662
ZNF701,0.9949706840472299,0.00042782812916500307
PRXL2A,0.9948074138101601,0.00044881862686928724
MACROH2A2,0.9946890210196107,0.0004642473674441748
ZNF141,0.9946568781185356,0.00046846602504265806
ARRDC2,0.9946172145169797,0.0004736892169183755
DTX1,0.9944641759081391,0.0004940220396655561
MAGI2-AS3,-0.9944623026899072,0.0004942726733214442
AATK,0.994418908890643,0.0005000905137615248
CACNA1D,0.9943159766115554,0.0005139809403436182
ZNF618,0.9942890913193054,0.00051762983371061
ADRA1D,0.994249026562372,0.000523083358041996
A1BG-AS1,0.9940893242630005,0.0005450095828046988
ZNF579,0.9936395619990313,0.0006083445389736653
BEX3,-0.9936102249658585,0.0006125556012178778
GLYATL2,0.9936007213975582,0.0006139218211718715
CNKSR3,0.9935970972517758,0.0006144430898854873
ZNF880,0.9934814864031971,0.0006311485988479891
RNF207-AS1,0.9930363574219925,0.0006968421385846813
NPDC1,0.9929264159309954,0.0007133978521054489
DLGAP1,0.992857530603118,0.0007238367061615495
FADS2,0.9928180759722051,0.000729838306403796
RNF150,0.9926257380238335,0.0007593302954026594
KCNK2,0.9922971804086906,0.0008105989128314975
NEXMIF,0.9921952868435768,0.0008267233272677212
TUBA3FP,0.9921215636796826,0.000838455467894051
TUT7,-0.9919039853910985,0.0008733989614543045
MET,0.991833363802322,0.0008848424457964287
LINC01012,0.9915353495294227,0.0009336738830199941
FAF1,0.9914183354966302,0.0009530843101745915
SOWAHC,0.9913015997231427,0.000972580323917052
FRG1-DT,0.9912505923256123,0.0009811401375049596
TIMP3,0.9912041280802079,0.000988959195842638
IL17RA,0.9911629964871487,0.0009958980501809638
NINL,0.9911392285573548,0.0009999150137072696
ARHGAP39,0.9909387304462223,0.0010340136284068867
FBXL16,0.9909124487675943,0.0010385114259549568
NEURL1B,0.9905610023342103,0.0010992761969895394
TCEAL9,-0.9905512521850406,0.0011009782914209012
C14orf132,0.990356843970072,0.0011350982532146651
ZNF536,0.9903363404738381,0.0011387168709016732
TSHZ3,0.9902907535665758,0.0011467760959589263
SLC22A15,0.9900987697108984,0.0011809228906929157
CPT1C,0.9900809299844833,0.001184112773687619
PTK7,0.9897253429629184,0.001248286840648466
RAP1GAP2,0.9896250586036015,0.0012665878394495461
SDE2,-0.9896204942763063,0.001267422890170122
PBX4,0.989557464471585,0.001278972950413487
ZNF736,0.98949066434323,0.0012912518157889193
LINC00674,0.9894464101575783,0.0012994078169135327
PKN3,0.9892898881090316,0.0013283910392984518
FENDRR,0.9892578992873226,0.0013343404871381428
CSRP2,0.9891080736078536,0.0013623229896951566
ZNF821,0.9890237380601888,0.001378158662054423
ZNF529,0.9890186670113006,0.00137911278646721
FAT3,0.9888874318182294,0.0014038809187760764
TUBA1C,-0.9887203882008035,0.001435618085942118
SLC29A4,0.9883484382528478,0.0015071260647934242
MYO1B,0.9882269234791646,0.0015307362703323195
HECTD2,0.9882049557658686,0.0015350175560270931
ZNF382,0.9880825269169173,0.0015589502242217166
ZNF225,0.9878057295069088,0.0016135098175316467
ZNF284,0.987783283061226,0.0016179614684741972
HS3ST4,0.9877645445419807,0.001621680865993978
PALM,0.9875975377995713,0.0016549547601883944
CYP2S1,0.9874876585706349,0.0016769686771825971
ARPIN,0.9873702948510787,0.0017005883952009194
AK1,0.9873699022665312,0.0017006675874498525
SEC61B,-0.9873684372852736,0.0017009631146165376
CBFA2T3,0.9870959791322806,0.0017562204635172864
MEI1,-0.987026112083871,0.0017704843402584105
SLC6A2,0.9867967085985095,0.001817586888225896
ENKD1,-0.9867801798075295,0.0018209964926310049
RNF167,-0.986726505377062,0.0018320832008196176
ST6GALNAC3,0.9866936614725241,0.0018388782600577064
CBARP,0.9864036217334387,0.0018992450616512387
KSR2,0.9863261784818904,0.0019154725844500035
LYPD6,0.9861249579204445,0.0019578498204321807
LIN54,-0.985895670331676,0.0020065111717081775
SFT2D2,-0.9858221424188609,0.0020221995454180095
CAV2,0.9857017397762743,0.002047976689163999
ACTL10,-0.9856421854253201,0.0020607666919860643
ZNF461,0.9856194639324485,0.0020656533522273855
RASIP1,0.9855079108016612,0.002089700394019785
UNC13A,0.9853452355287842,0.0021249325198321295
SYNJ2BP,0.9852795171369704,0.002139221036546628
ZNF827,0.9847867966558201,0.0022473531626223306
FGF12,0.9847090141061589,0.00226458412743858
BBS5,0.9846677949228763,0.002273732963751283
RIMS4,0.9846450619633358,0.002278783901158996
FSCN1,0.9846209063211077,0.00228415500523857
FTL,-0.9844283265758772,0.002327125363136896
PRIMA1,0.9841516438305469,0.0023893241102419505
LRRC37A16P,0.9841116986437629,0.0023983486567071585
RBMS3-AS3,0.9840694358864137,0.0024079090554937387
ICA1,0.9837779755931255,0.0024741830979858486
EIF3FP1,0.9836501545868942,0.0025034352587193945
FRG1FP,0.9835265703597807,0.0025318258630903064
TCF15,0.983523488410544,0.002532535223206225
PHF11,-0.9834335110991357,0.0025532739210144813
LEF1,0.9834121438542976,0.0025582070391942675
ELP3,-0.9833042630501557,0.0025831618788039017
B4GALNT4,0.9832741868341524,0.002590133352960506
ZKSCAN7,0.9831039456163542,0.0026297112161054554
CGNL1,0.9830640498126698,0.0026390149382950674
PTK2,0.9829909201992036,0.0026560970193567793
FBXW12,0.9824598632183356,0.002781233022274474
CTDSPL,0.9824431913393671,0.002785192296788663
PODXL2,0.9824389379460788,0.0027862027004060368
RARRES2P1,-0.9822129362122987,0.0028400640047775406
CRCP,-0.9819609474610453,0.0029005196108977645
PRKCG,0.9819070763977807,0.0029134986063407806
FBXW7,-0.9815939012026449,0.0029893295086628304
KCNT2,0.980899491338252,0.0031597523691047702
ZFP14,0.9808969798388324,0.003160374398667439
ARSF,0.9805573476134942,0.0032448638951135013
SOGA1,0.9805373630684681,0.003249858329608596
PAQR7,0.9804376470751379,0.003274816760198082
SV2A,0.9802120791340793,0.0033315077433847314
TANC1,0.9801317925498391,0.0033517633210242612
NOL4,0.9798607091221615,0.003420454366020004
ZNF570,0.9798313033678612,0.003427933282765412
GDI2,-0.9795814961346957,0.0034916853647531236
RNF224,0.9795419664090539,0.0035018090929988285
ZFP3,0.9794876432802668,0.0035157372704630154
IGFBP2,0.9794599478800818,0.0035228452629224145
RNF207,0.9794239468509491,0.003532091976211485
LINC00200,0.9793914233425975,0.0035404523887126865
UTS2R,0.9793566616065295,0.003549395374863289
RTBDN,0.9792336407929049,0.0035811041789436714
FGF10,0.9791412754823535,0.0036049726692049294
KLF8,0.9789986898783042,0.0036419215215736356
ZNF56P,0.9787900873294544,0.003696201486092995
CD70,0.978679298222304,0.0037251373644764238
DNAAF3,0.9785799117066303,0.003751158485970023
BNIP3P16,0.9783802455329244,0.003803615117251069
SH2D1B,-0.9782403973856816,0.003840499320763937
ZFP28,-0.9782162890109306,0.003846869651731608
RPS6KA2,0.977987409029135,0.003907521699870507
SLC27A3,-0.977922809788617,0.003924696815925132
KALRN,0.9778998165527558,0.003930816071104164
CAMK4,0.9778689841619781,0.00393902652418453
CECR2,0.9777036192484918,0.0039831584975169336
CD48,0.9773825951229698,0.004069294489042709
RPL7P50,0.9772629693659348,0.004101547358537796
CCNJL,0.9772171991250278,0.004113909916090755
DOK2,-0.9772060760770557,0.00411691611051863
SNHG29,-0.9771906406559581,0.004121088998985677
NINJ2-AS1,-0.9767282035218782,0.004246751736436234
GAL3ST4,0.9766862460290884,0.004258214819117147
LDB3,0.9766409590969121,0.004270598971633994
NEK2,-0.976539031571381,0.004298515445296498
CPQ,-0.9762698779510748,0.0043725207178335005
NFXL1,-0.9760447915568622,0.0044347288425553855
EBF4,0.9756389062915264,0.004547635625201921
TTPA,0.9755606178193679,0.004569521020830916
BCL6,0.9752621673791788,0.004653269591298403
UNC119,0.975228856993277,0.004662647959697558
MRPS27,-0.9751674282927405,0.004679959226727129
PRDM15,0.9750760324239155,0.004705754708329496
ZFP30,0.9750241339480944,0.004720423296290961
CLCN3P1,0.9745436946324944,0.004856927366229916
GFPT2,0.9739419805080672,0.005029688913450265
GPR27,-0.9738571834880367,0.0050541951667923005
ADGRB1,0.9737283679891248,0.005091497793686341
ANXA5,-0.9734701466314093,0.005166545840384874
MRPL35P2,0.9734564495195845,0.005170536798030949
MAP10,-0.973356652653277,0.005199645482114536
EVC,0.9732948638462262,0.005217694988857415
PHACTR1,0.9732695337471204,0.005225100276962589
AK4,0.9729653666177467,0.005314293837514747
CLEC7A,0.9728796306344167,0.005339524724091368
ACOT2,0.9727953863701094,0.005364354961717556
SMO,0.9727685159378908,0.005372282763880755
TMEM196,0.9727551451967178,0.005376229080134553
INTU,0.9726450659151473,0.005408754779787401
HHIP,0.9725583437172329,0.005434424540512712
RIN3,0.9725172504453752,0.005446602125867608
BDNF-AS,-0.9725068839773959,0.00544967554508882
AFF1,-0.9724625726112615,0.005462819285518871
MAPK4,0.9724006434350166,0.005481206337027277
PFKFB1,0.9723916192584776,0.005483887355140093
