gene_symbol,correlation,p_value
PRKY,1.0,0.0
BUD31P2,1.0,0.0
USP9Y,1.0,0.0
BCORP1,1.0,0.0
TXLNGY,1.0,0.0
KDM5D,1.0,0.0
UTY,1.0,0.0
ANKRD36P1,1.0,0.0
TPTE2P4,1.0,0.0
RPS4Y1,1.0,0.0
ZFY,1.0,0.0
EIF1AY,1.0,0.0
ARHGAP42,0.9999678461559129,3.215384408705724e-05
RAI14,0.9999239226952714,7.607730472858343e-05
LEF1,0.9998519382167166,0.00014806178328341524
HOXA13,0.9997131308328585,0.0002868691671413792
NRAV,-0.9997119709612419,0.0002880290387581308
CALN1,0.999613648502426,0.0003863514975739335
AK4,0.9995378524862679,0.00046214751373208074
NSMF,-0.9992495092842446,0.000750490715755392
OSR1,0.9990725287936433,0.0009274712063567225
MET,0.9989781702739596,0.0010218297260404796
NUDT16,0.9986821548549798,0.0013178451450202022
TM4SF4,-0.9986802145114461,0.0013197854885538263
RAC3,-0.9986733627435113,0.0013266372564886275
NF1P6,0.998521295912201,0.0014787040877990432
MYT1L,0.9985065393857678,0.0014934606142320561
C4BPAP1,0.9984672021065141,0.0015327978934860376
MTHFD2,-0.9983114859012847,0.001688514098715288
DLX1,0.9980622075523766,0.0019377924476233765
KCND2,0.9980295294061773,0.001970470593822604
CACNG6,0.9980190873519613,0.0019809126480385686
L3MBTL3,0.9978510725985157,0.002148927401484313
GSK3B,0.9977128834914191,0.002287116508580933
CYP26B1,0.9977044520994076,0.0022955479005923873
CLEC11A,-0.9976924455306423,0.0023075544693575978
NRK,0.997524067855714,0.002475932144285986
C12orf75,0.9974394488159681,0.0025605511840318673
RIPK2,-0.9974350027604428,0.002564997239557165
LINC00244,0.9974083543396894,0.0025916456603105598
HCP5,0.9972912366445896,0.0027087633554103707
SLC26A5,0.9972858491512012,0.002714150848798891
RBM4,-0.9972845554365635,0.002715444563436531
LMX1A,0.9971824964995337,0.0028175035004662785
LINC00513,-0.9971055113174871,0.0028944886825128524
GNAZ,0.9969952951259199,0.003004704874080222
FDPS,0.9969546575067543,0.0030453424932457285
FREM2,0.9969045921135335,0.0030954078864664503
DDX3Y,0.9968181588157436,0.003181841184256351
TLCD1,-0.9963020980908319,0.0036979019091680776
EFNB2,-0.9962781476929512,0.0037218523070488008
FBXW2,0.9962777663592433,0.0037222336407567447
KCNK2,0.9962713664118643,0.003728633588135688
C1orf159,-0.9961990734827162,0.003800926517283809
LINC00399,-0.996172908034492,0.0038270919655079005
EXT1,-0.9960694456846136,0.00393055431538647
PDE6B-AS1,0.995984130776095,0.004015869223904955
LINC01607,-0.9959731140883242,0.0040268859116756595
RPL21P132,0.995936270996038,0.004063729003962013
DDX19B,-0.9959102382919951,0.004089761708004902
CAV2,0.9958418617753422,0.004158138224657826
PIFO,0.9954235980786981,0.004576401921301931
FAM90A2P,0.9953955092589578,0.004604490741042078
CD70,0.9953565431633054,0.004643456836694648
RIN3,0.9953481611716911,0.004651838828308996
ARL5B,0.9952930973425883,0.004706902657411582
LINC00460,-0.995234965763583,0.004765034236417165
NLGN4X,0.9951224513511698,0.004877548648830166
CAV1,0.9950401976346345,0.00495980236536564
LINC01139,-0.9949701902877259,0.005029809712274069
SAMD12,0.9947788656703398,0.005221134329660204
NEXMIF,0.9947243102767512,0.0052756897232488775
PTPRD-AS1,0.9946381606626626,0.00536183933733736
FBXO30-DT,0.9946049512358013,0.005395048764198718
SSTR5,0.9945767621475975,0.005423237852402618
TRAF1,-0.9945588017209532,0.005441198279046766
INSM2,-0.9945548737547958,0.005445126245204213
DNLZ,-0.9944936771011235,0.005506322898876537
HOXA10,0.9944733931975736,0.005526606802426448
LINC00939,0.9944167138649584,0.005583286135041554
RXRG,0.9943981212858929,0.005601878714107222
ATP5MC1P4,0.9942148613404469,0.005785138659553102
PTK2,-0.9940695781989273,0.005930421801072727
MTIF2,0.9940664645905977,0.005933535409402335
OTOGL,0.994012648679248,0.00598735132075201
FOXD3-AS1,0.993970598408823,0.0060294015911770416
SLC7A8,0.9939532386722849,0.006046761327715089
GABRB2,0.9938901830280749,0.006109816971925142
TSPAN12,0.993813334770582,0.00618666522941802
PHACTR3,0.9937244953682601,0.006275504631739981
FKBP1A,-0.9936660360691998,0.006333963930800213
IL17RA,0.9936211239104654,0.006378876089534469
ZNF99,0.9935353146094004,0.006464685390599634
HERPUD1,-0.9933968919503119,0.006603108049688
HS3ST4,0.9933630382989906,0.0066369617010093584
ARSF,0.9931133705829231,0.0068866294170768505
LOH12CR2,-0.9930095906542542,0.006990409345745796
GSE1,-0.9928385950792533,0.0071614049207466834
LINC00506,0.9927958424871313,0.007204157512868736
SSU72,-0.9927637773465274,0.007236222653472568
