gene_symbol,correlation,p_value
GAP43,-0.9999354916048546,6.450839514537954e-05
PYGL,-0.9999327253680009,6.727463199895922e-05
PIP4K2A,0.9999298012192759,7.019878072411778e-05
ARSI,-0.9998564029333483,0.00014359706665167948
PPIE,-0.9997056304268377,0.00029436957316231194
DGKE,-0.9995848258355932,0.0004151741644067286
RIMBP2,-0.9995158533572415,0.0004841466427585317
SCN4B,0.9408614876081364,0.000494409306099759
COL1A1,-0.9991653745071213,0.0008346254928786045
ACO1,0.9991626426498508,0.000837357350149226
ADGRF5,0.9281005816086527,0.0008798278822837224
FAM162B,-0.9990888353392974,0.0009111646607027346
MME,-0.9990829317171841,0.0009170682828159027
HOXB3,0.9257080044072247,0.0009688307927612526
CHORDC1,0.9990167345396803,0.0009832654603196822
FAM210B,-0.9989658688689548,0.001034131131045335
PRKAA1,-0.9986603539459471,0.001339646054052901
GNAQ,-0.9984876609850869,0.001512339014912989
SSU72,-0.998393289867896,0.0016067101321040056
HOXA5,0.9089951089677508,0.0017579663384495615
PPP1R16B,-0.9982387626456775,0.0017612373543225424
KCNK2,0.908738910185035,0.0017725035514322273
F2RL1,0.9980875561019878,0.0019124438980120395
CLDN10,-0.9980396597780257,0.0019603402219743327
SEMA6D,-0.9050796676311895,0.001988730772046884
STMN2,-0.9976645052890869,0.0023354947109130997
NTNG2,0.9975163908674076,0.0024836091325923793
PDCD1LG2,-0.9973769120790887,0.00262308792091126
DNMT3A,-0.8947169594930735,0.002692005681473842
LOX,-0.9972676602821227,0.002732339717877341
IFIT3,-0.8878042561776192,0.0032403316792529876
RIPK2,-0.9967467544986789,0.0032532455013210004
ERRFI1,-0.9967400592012903,0.003259940798709726
RRM2B,-0.9965945372930977,0.0034054627069024512
NOXA1,-0.9964565075393164,0.0035434924606836393
CACNA2D4,-0.8830800474294401,0.0036536201448609906
TMEM184A,-0.9963211184703943,0.0036788815296056043
HOXC12,0.9959162141123826,0.004083785887617264
SOCS1,0.9957519920842842,0.004248007915715668
FAM126B,-0.9957303147596984,0.0042696852403016905
MAML2,-0.9955447919672198,0.004455208032780211
CSNK1A1,-0.9954030211030693,0.00459697889693067
PIEZO1,-0.9953062421180903,0.0046937578819097325
PPP1R3B,-0.9952832946690434,0.004716705330956472
NCSTN,-0.995087733644568,0.00491226635543196
REPS2,0.9950567216438533,0.004943278356146719
ZNF536,-0.9949522104683584,0.005047789531641644
HOXA10,0.9949366480433426,0.005063351956657414
PHLDA1,-0.9947425752023178,0.005257424797682209
VEGFA,-0.9946815141420319,0.005318485857968014
CSMD3,0.9944440457420322,0.005555954257967954
KLHDC9,-0.9940244176673807,0.0059755823326193
ARAP3,-0.9940101854221286,0.0059898145778714
L3MBTL2,0.9939374337406631,0.006062566259336766
ILDR1,0.8598287821315101,0.0061816617177236285
SEC13,-0.9936956985162347,0.006304301483765151
RAC3,-0.993596679867944,0.006403320132056134
KCTD15,-0.9934822889522938,0.006517711047706154
TANC2,-0.9933902909836652,0.0066097090163348415
EHD2,-0.9933611469270944,0.006638853072905571
UBE2G2,-0.9926833805211621,0.0073166194788378824
ATG10,-0.9924759404134578,0.007524059586542231
MAP4K4,0.9924661776678185,0.007533822332181472
SCGN,-0.9924478187666835,0.007552181233316357
RRAD,0.9923387708211185,0.007661229178881346
BBS7,-0.9920425300717006,0.007957469928299377
GLB1L2,-0.9919314380176032,0.008068561982396805
ZNF331,-0.7185750770414395,0.008466993251682129
MAGEB2,-0.9915211169471896,0.008478883052810415
LARP6,-0.9913178236011592,0.008682176398840724
TRMT10A,0.9912909586497778,0.008709041350222213
ZFP3,-0.9912649489548307,0.00873505104516914
ACOX2,-0.9912530505950452,0.008746949404954796
TLN1,-0.9910648384197078,0.008935161580292172
HOXB5,0.9910490447639722,0.008950955236027847
NCKAP1L,0.7145862538917899,0.0090169713232293
AQP3,0.9907559482765433,0.009244051723456659
TLE6,-0.9905848245480562,0.009415175451943814
CYBA,-0.9905488227362593,0.009451177263740673
KCNN4,-0.836490984900139,0.009632246268730304
TRIM22,0.9903073152129511,0.009692684787048877
IGF2BP1,-0.9902974444631005,0.009702555536899471
CLCN5,-0.8356203349447429,0.009780160533675999
TWSG1,0.9901831755194506,0.009816824480549435
HTATIP2,-0.9899721512225834,0.010027848777416581
FMO4,0.9898545049894002,0.010145495010599692
HOXA11,0.9896182828162254,0.010381717183774564
ZNF518A,-0.9895782159200919,0.010421784079908125
RSPH14,-0.8309938626764191,0.010590326238972414
GATA4,0.8301100155338605,0.010749773249479356
MAP2K5,-0.9885137701474065,0.01148622985259351
COX8C,-0.9883083994380277,0.01169160056197227
NTN4,0.9882707441331414,0.01172925586685869
ZNF154,-0.9882115468634769,0.011788453136523103
FAM163A,-0.988178501903773,0.011821498096227012
SNAP91,-0.9880454049594967,0.011954595040503335
TAF5,0.9880092480476339,0.011990751952366097
DUSP4,-0.9880050241978826,0.011994975802117391
KALRN,-0.9876033555645553,0.012396644435444859
KCNH2,-0.821374668410066,0.012407836944698087
FA2H,0.9875910278130879,0.01240897218691206
MAT2B,-0.9874785006772592,0.012521499322740937
COPA,-0.9872015465417685,0.012798453458231496
RSPH1,-0.9871329013428889,0.012867098657111109
PRTFDC1,-0.9870369172310449,0.012963082768955081
P4HA3,0.9870309439856757,0.012969056014324298
RAB30,-0.9869534745091753,0.013046525490824745
PCDHGC4,-0.9868935051636255,0.013106494836374605
WNT7B,0.9868071042258504,0.013192895774149616
CNTN1,-0.9867888628115944,0.013211137188405608
PCSK1N,-0.9866629609047622,0.013337039095237646
HSP90AB1,0.9861318847123492,0.01386811528765075
HOXA13,0.9860661323652857,0.01393386763471427
MAN2A1,-0.9858044326224491,0.0141955673775509
ENG,-0.9856786788875844,0.014321321112415575
HS3ST2,-0.9853778036504348,0.014622196349565186
OXGR1,-0.9853152874097222,0.014684712590277815
CXCR6,0.985109016666223,0.01489098333377692
KLHL17,-0.9850576358340859,0.014942364165914102
ZNF239,-0.9849524409746185,0.015047559025381574
TM6SF2,-0.9848714272355013,0.015128572764498749
C1QL3,-0.9847274916547339,0.015272508345266056
OSR1,0.9846995369156765,0.015300463084323646
SERPINB9,-0.9845949187325723,0.01540508126742779
NEURL1,-0.9845695989417852,0.015430401058214915
ZNF540,-0.8066825624931401,0.015544020306721824
ACTN4,-0.9841704955682808,0.015829504431719155
NFAM1,-0.805006724660017,0.015930293308266997
CSF1,-0.984025158925649,0.015974841074350987
TRAF1,-0.9837968034612234,0.016203196538776554
BARX1,0.9837001843374241,0.016299815662575767
MGAT4A,0.9836721803784493,0.01632781962155061
RIMS4,-0.9835200369941368,0.016479963005863185
LEMD1,0.9834361785446213,0.016563821455378713
CD1D,0.8018137564541534,0.016682803193125206
GP1BA,-0.9832822884697607,0.016717711530239265
RARA,-0.6712207577364696,0.01685564979049895
MTMR11,-0.982746859150154,0.01725314084984597
LYPD6B,-0.9824633282832786,0.017536671716721353
ERGIC2,-0.9824355064626751,0.01756449353732492
PHC3,-0.982306999805352,0.017693000194648034
PENK,0.9822874843428504,0.017712515657149597
TIGD4,0.9822341540705901,0.017765845929409885
ZNF630,-0.9821910615060556,0.017808938493944382
TPPP,0.7967707356252541,0.01791601220688506
COCH,-0.9820748012798897,0.017925198720110336
PSME4,-0.9818317933647559,0.01816820663524421
ZNF304,0.9815881238449472,0.01841187615505291
CAPZB,-0.9814750638953619,0.018524936104638012
OSR2,0.9813605492379326,0.018639450762067522
RHOBTB2,-0.9813047664282074,0.018695233571792702
DCTN4,0.7919165988919326,0.019155436168921944
ARHGAP4,-0.9807356815410304,0.019264318458969587
SLC6A16,0.9806035047593542,0.019396495240645795
COL28A1,0.9805293659433836,0.01947063405661642
GNA14,0.980339700812722,0.019660299187278074
TM4SF19,-0.9802277254350329,0.019772274564967107
ZNF639,-0.9801111517295135,0.019888848270486648
BRD1,0.9799218048014442,0.020078195198555804
LRG1,0.97991264939185,0.020087350608150034
ZC3HC1,0.9798726032275926,0.02012739677240738
FAM86B1,-0.979868337966759,0.020131662033241016
NPAS3,0.9797071769814871,0.020292823018512873
RREB1,-0.9796415362632975,0.02035846373670247
EPB41L4B,0.9795813678536779,0.020418632146322224
ZNF521,-0.9794947797791906,0.02050522022080936
XKR8,-0.9794191998877386,0.020580800112261377
DCBLD2,-0.9793919634822348,0.020608036517765216
SNX13,-0.979256679437489,0.02074332056251116
WNT3,-0.9792483037584723,0.02075169624152773
RLIM,-0.7852522713919294,0.02094221119524291
KATNA1,-0.9789698797776628,0.02103012022233708
C11orf24,0.9788496897226672,0.021150310277332718
TRIM44,-0.9788030307486077,0.02119696925139225
SAMHD1,-0.9787559951530129,0.021244004846987075
