chrom,source,type,start,end,score,strand,phase,ID,bound_end,bound_start,description,feature_type,region,length,segment_id,gene_symbol
chr1,Regulatory_Build,promoter,957600,962001,.,.,.,promoter:ENSR00000000111,963999,956402,Predicted promoter,Promoter,"[957600, 962001]",4401,chr1:957600-962001,KLHL17
chr1,Regulatory_Build,promoter,965800,967601,.,.,.,promoter:ENSR00000000112,968199,965402,Predicted promoter,Promoter,"[965800, 967601]",1801,chr1:965800-967601,PLEKHN1
chr1,Regulatory_Build,promoter,975600,977201,.,.,.,promoter:ENSR00000344444,978843,975202,Predicted promoter,Promoter,"[975600, 977201]",1601,chr1:975600-977201,PERM1
chr1,Regulatory_Build,promoter,997400,1002401,.,.,.,promoter:ENSR00000000118,1007399,995602,Predicted promoter,Promoter,"[997400, 1002401]",5001,chr1:997400-1002401,HES4
chr1,Regulatory_Build,promoter,997400,1002401,.,.,.,promoter:ENSR00000000118,1007399,995602,Predicted promoter,Promoter,"[997400, 1002401]",5001,chr1:997400-1002401,ISG15
chr1,Regulatory_Build,promoter,1012600,1015201,.,.,.,promoter:ENSR00001164809,1015841,1011602,Predicted promoter,Promoter,"[1012600, 1015201]",2601,chr1:1012600-1015201,ISG15
chr1,Regulatory_Build,promoter,1019000,1022001,.,.,.,promoter:ENSR00000000123,1027399,1018402,Predicted promoter,Promoter,"[1019000, 1022001]",3001,chr1:1019000-1022001,AGRN
chr1,Regulatory_Build,promoter,1173800,1174201,.,.,.,promoter:ENSR00000344517,1174999,1169602,Predicted promoter,Promoter,"[1173800, 1174201]",401,chr1:1173800-1174201,TTLL10
chr1,Regulatory_Build,promoter,1204200,1209601,.,.,.,promoter:ENSR00000344533,1210399,1203828,Predicted promoter,Promoter,"[1204200, 1209601]",5401,chr1:1204200-1209601,TNFRSF18
chr1,Regulatory_Build,promoter,1211800,1218201,.,.,.,promoter:ENSR00000344538,1218599,1211002,Predicted promoter,Promoter,"[1211800, 1218201]",6401,chr1:1211800-1218201,TNFRSF4
chr1,Regulatory_Build,promoter,1229800,1233801,.,.,.,promoter:ENSR00000000159,1234399,1229402,Predicted promoter,Promoter,"[1229800, 1233801]",4001,chr1:1229800-1233801,SDF4
chr1,Regulatory_Build,promoter,1271400,1275601,.,.,.,promoter:ENSR00000000166,1275999,1270002,Predicted promoter,Promoter,"[1271400, 1275601]",4201,chr1:1271400-1275601,UBE2J2
chr1,Regulatory_Build,promoter,1304000,1310601,.,.,.,promoter:ENSR00000344573,1311199,1302402,Predicted promoter,Promoter,"[1304000, 1310601]",6601,chr1:1304000-1310601,ACAP3
chr1,Regulatory_Build,promoter,1304000,1310601,.,.,.,promoter:ENSR00000344573,1311199,1302402,Predicted promoter,Promoter,"[1304000, 1310601]",6601,chr1:1304000-1310601,PUSL1
chr1,Regulatory_Build,promoter,1323000,1326601,.,.,.,promoter:ENSR00000000178,1327199,1317202,Predicted promoter,Promoter,"[1323000, 1326601]",3601,chr1:1323000-1326601,INTS11
chr1,Regulatory_Build,promoter,1344000,1352801,.,.,.,promoter:ENSR00000000182,1362599,1342002,Predicted promoter,Promoter,"[1344000, 1352801]",8801,chr1:1344000-1352801,DVL1
