"","annotated_genes","seqnames","start","end","width","strand","startCpG","endCpG","target","region","lenCpG","bp","tg_mean","bg_mean","delta_means","delta_quants","delta_maxmin","ttest","direction","segment_id","dist_to_TSS","X","baseMean","log2FoldChange","lfcSE","pvalue","padj","SH.SY5Y_C2","SH.SY5Y_C1","SH.SY5Y_J2","SH.SY5Y_J4","SH.SY5Y_C4","SH.SY5Y_J3","SH.SY5Y_J1","SH.SY5Y_C3","type","description"
"57","ACAA2","chr18",49952004,49952351,348,"*",24588627,24588630,"R","chr18:49952004-49952351","3CpGs","347bp",0.67,0.292,0.378,0.316,0.292,0.0251,"M","chr18:49952004-49952351",-138051,"ENSG00000167315",2357.24760153694,0.31141924361093,0.0952091598010339,0.000428076716575331,0.00220002668271571,2419.68720386795,3209.51540749226,2116.34379187787,2150.56894484547,2409.4061626814,2015.41529772575,2027.12286923376,2509.92113457106,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"70","ACOX3","chr4",8506750,8506886,137,"*",6407033,6407038,"R","chr4:8506750-8506886","5CpGs","136bp",0.537,0.875,0.338,0.283,0.25,0.0381,"U","chr4:8506750-8506886",-66027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","ACSBG2","chr19",6022142,6022261,120,"*",25065449,25065454,"R","chr19:6022142-6022261","5CpGs","119bp",0.623,0.964,0.341,0.303,0.297,0.0114,"U","chr19:6022142-6022261",-112986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","ACSL4","chrX",109908376,109909407,1032,"*",28792546,28792552,"R","chrX:109908376-109909407","6CpGs","1031bp",0.433,0.882,0.449,0.44,0.438,0.000338,"U","chrX:109908376-109909407",-174973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","ACSL4","chrX",109808552,109809422,871,"*",28791658,28791666,"R","chrX:109808552-109809422","8CpGs","870bp",0.293,0.802,0.509,0.397,0.388,0.0473,"U","chrX:109808552-109809422",-75149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","ACSL4","chrX",109953240,109954083,844,"*",28792840,28792845,"R","chrX:109953240-109954083","5CpGs","843bp",0.567,0.905,0.338,0.317,0.3,0.00977,"U","chrX:109953240-109954083",-219837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","ACSL4","chrX",109913884,109914930,1047,"*",28792572,28792585,"R","chrX:109913884-109914930","13CpGs","1046bp",0.962,0.593,0.369,0.315,0.307,0.0201,"M","chrX:109913884-109914930",-180481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","ACVR1","chr2",158143019,158143822,804,"*",3817012,3817017,"R","chr2:158143019-158143822","5CpGs","803bp",0.887,0.586,0.302,0.282,0.275,0.00393,"M","chr2:158143019-158143822",-266689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","ACVR2A","chr2",147245341,147246130,790,"*",3743050,3743056,"R","chr2:147245341-147246130","6CpGs","789bp",0.464,0.0957,0.369,0.328,0.309,0.0135,"M","chr2:147245341-147246130",-598387,"ENSG00000121989",562.009222816647,-0.271198776778433,0.103877341583372,0.00442969404215948,0.0169877884628163,473.054955873219,553.168078405738,597.507548231152,669.555738113325,420.113232889782,589.311763955112,634.363532174973,558.998932889875,"protein_coding","activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]"
"111","ACVR2A","chr2",146950121,146950450,330,"*",3741501,3741505,"R","chr2:146950121-146950450","4CpGs","329bp",0.448,0.861,0.413,0.378,0.367,0.00657,"U","chr2:146950121-146950450",-894067,"ENSG00000121989",562.009222816647,-0.271198776778433,0.103877341583372,0.00442969404215948,0.0169877884628163,473.054955873219,553.168078405738,597.507548231152,669.555738113325,420.113232889782,589.311763955112,634.363532174973,558.998932889875,"protein_coding","activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]"
"112","ACVR2A","chr2",146857409,146857988,580,"*",3740985,3740988,"R","chr2:146857409-146857988","3CpGs","579bp",0.722,0.329,0.394,0.339,0.31,0.0243,"M","chr2:146857409-146857988",-986529,"ENSG00000121989",562.009222816647,-0.271198776778433,0.103877341583372,0.00442969404215948,0.0169877884628163,473.054955873219,553.168078405738,597.507548231152,669.555738113325,420.113232889782,589.311763955112,634.363532174973,558.998932889875,"protein_coding","activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]"
"264","AKR1C3","chr10",5044190,5044345,156,"*",15109971,15109974,"R","chr10:5044190-5044345","3CpGs","155bp",0.562,0.211,0.351,0.309,0.274,0.0371,"M","chr10:5044190-5044345",8836,"ENSG00000196139",115.711206887431,1.63419117624435,0.199255098604288,5.31590867465784e-18,1.99193379084261e-16,151.022239433704,218.986125884333,60.8192002326069,61.9959016771597,155.555440286217,39.4421259340035,58.7022970072363,179.166324644191,"protein_coding","aldo-keto reductase family 1 member C3 [Source:HGNC Symbol;Acc:HGNC:386]"
"301","AMACR","chr5",33736342,33737111,770,"*",8058659,8058665,"R","chr5:33736342-33737111","6CpGs","769bp",0.628,0.128,0.5,0.395,0.356,0.0393,"M","chr5:33736342-33737111",270993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","AMACR","chr5",33568706,33569098,393,"*",8057437,8057452,"R","chr5:33568706-33569098","15CpGs","392bp",0.305,0.758,0.453,0.378,0.352,0.0243,"U","chr5:33568706-33569098",439006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","AMACR","chr5",33579436,33581389,1954,"*",8057538,8057552,"R","chr5:33579436-33581389","14CpGs","1953bp",0.556,0.885,0.329,0.269,0.261,0.0303,"U","chr5:33579436-33581389",426715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","AMACR","chr5",33643342,33643468,127,"*",8058009,8058016,"R","chr5:33643342-33643468","7CpGs","126bp",0.656,1,0.344,0.32,0.296,0.0186,"U","chr5:33643342-33643468",364636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
