chrom,source,type,start,end,score,strand,phase,ID,bound_end,bound_start,description,feature_type,region,length,segment_id,gene_symbol
chr1,Regulatory_Build,promoter,957600,962001,.,.,.,promoter:ENSR00000000111,963999,956402,Predicted promoter,Promoter,"[957600, 962001]",4401,chr1:957600-962001,KLHL17
chr1,Regulatory_Build,promoter,997400,1002401,.,.,.,promoter:ENSR00000000118,1007399,995602,Predicted promoter,Promoter,"[997400, 1002401]",5001,chr1:997400-1002401,HES4
chr1,Regulatory_Build,promoter,1173800,1174201,.,.,.,promoter:ENSR00000344517,1174999,1169602,Predicted promoter,Promoter,"[1173800, 1174201]",401,chr1:1173800-1174201,TTLL10
chr1,Regulatory_Build,promoter,1204200,1209601,.,.,.,promoter:ENSR00000344533,1210399,1203828,Predicted promoter,Promoter,"[1204200, 1209601]",5401,chr1:1204200-1209601,TNFRSF18
chr1,Regulatory_Build,promoter,1211800,1218201,.,.,.,promoter:ENSR00000344538,1218599,1211002,Predicted promoter,Promoter,"[1211800, 1218201]",6401,chr1:1211800-1218201,TNFRSF4
chr1,Regulatory_Build,promoter,1304000,1310601,.,.,.,promoter:ENSR00000344573,1311199,1302402,Predicted promoter,Promoter,"[1304000, 1310601]",6601,chr1:1304000-1310601,ACAP3
chr1,Regulatory_Build,promoter,1323000,1326601,.,.,.,promoter:ENSR00000000178,1327199,1317202,Predicted promoter,Promoter,"[1323000, 1326601]",3601,chr1:1323000-1326601,INTS11
chr1,Regulatory_Build,promoter,1344000,1352801,.,.,.,promoter:ENSR00000000182,1362599,1342002,Predicted promoter,Promoter,"[1344000, 1352801]",8801,chr1:1344000-1352801,DVL1
chr1,Regulatory_Build,promoter,1397800,1401201,.,.,.,promoter:ENSR00000000186,1406599,1397202,Predicted promoter,Promoter,"[1397800, 1401201]",3401,chr1:1397800-1401201,CCNL2
chr1,Regulatory_Build,promoter,1430200,1438601,.,.,.,promoter:ENSR00000000192,1439457,1428002,Predicted promoter,Promoter,"[1430200, 1438601]",8401,chr1:1430200-1438601,VWA1
chr1,Regulatory_Build,promoter,1462200,1463001,.,.,.,promoter:ENSR00000344642,1463199,1460602,Predicted promoter,Promoter,"[1462200, 1463001]",801,chr1:1462200-1463001,ATAD3C
chr1,Regulatory_Build,promoter,1470000,1473801,.,.,.,promoter:ENSR00000000194,1476399,1469402,Predicted promoter,Promoter,"[1470000, 1473801]",3801,chr1:1470000-1473801,ATAD3B
chr1,Regulatory_Build,promoter,1572800,1576201,.,.,.,promoter:ENSR00000000205,1576999,1567002,Predicted promoter,Promoter,"[1572800, 1576201]",3401,chr1:1572800-1576201,SSU72
chr1,Regulatory_Build,promoter,1613400,1617201,.,.,.,promoter:ENSR00000000210,1617799,1609602,Predicted promoter,Promoter,"[1613400, 1617201]",3801,chr1:1613400-1617201,MIB2
chr1,Regulatory_Build,promoter,1627400,1634400,.,.,.,promoter:ENSR00000344687,1634400,1626802,Predicted promoter,Promoter,"[1627400, 1634400]",7000,chr1:1627400-1634400,MMP23B
chr1,Regulatory_Build,promoter,1657400,1660401,.,.,.,promoter:ENSR00000000215,1665199,1657002,Predicted promoter,Promoter,"[1657400, 1660401]",3001,chr1:1657400-1660401,CDK11B
chr1,Regulatory_Build,promoter,1690600,1695401,.,.,.,promoter:ENSR00000000222,1695999,1685402,Predicted promoter,Promoter,"[1690600, 1695401]",4801,chr1:1690600-1695401,SLC35E2B
chr1,Regulatory_Build,promoter,1775400,1781001,.,.,.,promoter:ENSR00000000234,1784599,1773802,Predicted promoter,Promoter,"[1775400, 1781001]",5601,chr1:1775400-1781001,NADK
chr1,Regulatory_Build,promoter,2049200,2052800,.,.,.,promoter:ENSR00000000276,2052800,2044002,Predicted promoter,Promoter,"[2049200, 2052800]",3600,chr1:2049200-2052800,PRKCZ
chr1,Regulatory_Build,promoter,2073400,2074401,.,.,.,promoter:ENSR00000344791,2075399,2071602,Predicted promoter,Promoter,"[2073400, 2074401]",1001,chr1:2073400-2074401,PRKCZ
chr1,Regulatory_Build,promoter,2415400,2417201,.,.,.,promoter:ENSR00000344931,2417999,2412602,Predicted promoter,Promoter,"[2415400, 2417201]",1801,chr1:2415400-2417201,PLCH2
chr1,Regulatory_Build,promoter,2523200,2531201,.,.,.,promoter:ENSR00000000360,2536199,2522602,Predicted promoter,Promoter,"[2523200, 2531201]",8001,chr1:2523200-2531201,PANK4
chr1,Regulatory_Build,promoter,3471600,3472201,.,.,.,promoter:ENSR00001165025,3473199,3470602,Predicted promoter,Promoter,"[3471600, 3472201]",601,chr1:3471600-3472201,ARHGEF16
chr1,Regulatory_Build,promoter,3648600,3650601,.,.,.,promoter:ENSR00000000488,3654199,3647002,Predicted promoter,Promoter,"[3648600, 3650601]",2001,chr1:3648600-3650601,WRAP73
chr1,Regulatory_Build,promoter,3771600,3774001,.,.,.,promoter:ENSR00000000514,3779399,3770402,Predicted promoter,Promoter,"[3771600, 3774001]",2401,chr1:3771600-3774001,SMIM1
chr1,Regulatory_Build,promoter,3855600,3858801,.,.,.,promoter:ENSR00000000525,3859799,3855202,Predicted promoter,Promoter,"[3855600, 3858801]",3201,chr1:3855600-3858801,DFFB
chr1,Regulatory_Build,promoter,5990800,5995401,.,.,.,promoter:ENSR00000000584,5996599,5990002,Predicted promoter,Promoter,"[5990800, 5995401]",4601,chr1:5990800-5995401,KCNAB2
chr1,Regulatory_Build,promoter,6024800,6029401,.,.,.,promoter:ENSR00000000589,6039599,6024231,Predicted promoter,Promoter,"[6024800, 6029401]",4601,chr1:6024800-6029401,KCNAB2
chr1,Regulatory_Build,promoter,6197400,6200801,.,.,.,promoter:ENSR00000000615,6201199,6196602,Predicted promoter,Promoter,"[6197400, 6200801]",3401,chr1:6197400-6200801,RPL22
chr1,Regulatory_Build,promoter,6204600,6207201,.,.,.,promoter:ENSR00000000616,6210199,6204002,Predicted promoter,Promoter,"[6204600, 6207201]",2601,chr1:6204600-6207201,RNF207
chr1,Regulatory_Build,promoter,6259600,6261801,.,.,.,promoter:ENSR00000000628,6264199,6258402,Predicted promoter,Promoter,"[6259600, 6261801]",2201,chr1:6259600-6261801,GPR153
chr1,Regulatory_Build,promoter,6424600,6425601,.,.,.,promoter:ENSR00000345875,6428799,6422602,Predicted promoter,Promoter,"[6424600, 6425601]",1001,chr1:6424600-6425601,ESPN
chr1,Regulatory_Build,promoter,6446800,6449801,.,.,.,promoter:ENSR00000345892,6450399,6446402,Predicted promoter,Promoter,"[6446800, 6449801]",3001,chr1:6446800-6449801,ESPN
chr1,Regulatory_Build,promoter,6463400,6467400,.,.,.,promoter:ENSR00000345897,6467400,6459202,Predicted promoter,Promoter,"[6463400, 6467400]",4000,chr1:6463400-6467400,TNFRSF25
chr1,Regulatory_Build,promoter,6484400,6486601,.,.,.,promoter:ENSR00000000680,6487599,6483802,Predicted promoter,Promoter,"[6484400, 6486601]",2201,chr1:6484400-6486601,PLEKHG5
chr1,Regulatory_Build,promoter,6489400,6492401,.,.,.,promoter:ENSR00000345915,6497199,6488202,Predicted promoter,Promoter,"[6489400, 6492401]",3001,chr1:6489400-6492401,PLEKHG5
chr1,Regulatory_Build,promoter,6496000,6498401,.,.,.,promoter:ENSR00000000684,6503599,6491002,Predicted promoter,Promoter,"[6496000, 6498401]",2401,chr1:6496000-6498401,PLEKHG5
chr1,Regulatory_Build,promoter,6578800,6582201,.,.,.,promoter:ENSR00000000704,6583599,6577802,Predicted promoter,Promoter,"[6578800, 6582201]",3401,chr1:6578800-6582201,ZBTB48
chr1,Regulatory_Build,promoter,6699800,6702401,.,.,.,promoter:ENSR00000000720,6703399,6698602,Predicted promoter,Promoter,"[6699800, 6702401]",2601,chr1:6699800-6702401,DNAJC11
chr1,Regulatory_Build,promoter,6783200,6787201,.,.,.,promoter:ENSR00000000733,6792399,6782802,Predicted promoter,Promoter,"[6783200, 6787201]",4001,chr1:6783200-6787201,CAMTA1
chr1,Regulatory_Build,promoter,7953401,7955201,.,.,.,promoter:ENSR00000000849,7955999,7953401,Predicted promoter,Promoter,"[7953401, 7955201]",1800,chr1:7953401-7955201,PARK7
