"","annotated_genes","seqnames","start","end","width","strand","segment_id","average_shap_value","reliability_shap_value","shap_variance","z_score","avg_meth_R","avg_meth_S","diff","direction","mean_coef","gene_symbol","avg_depth","dist_to_TSS","X","baseMean","log2FoldChange","lfcSE","pvalue","padj","SH.SY5Y_C2","SH.SY5Y_C1","SH.SY5Y_J2","SH.SY5Y_J4","SH.SY5Y_C4","SH.SY5Y_J3","SH.SY5Y_J1","SH.SY5Y_C3","type","description"
"1","AADAC","chr3",151698219,151699840,1622,"*","chr3:151698219-151699840",-0.000232047232132855,0.000232047232132855,2.36386434946074e-07,3.38991896342059,0.57,0,0.57,"M",-5.98379218158588e-05,"",3.27,-114233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","AADAC","chr3",151855611,151857233,1623,"*","chr3:151855611-151857233",-0.000157127378666737,0.000157127378666737,1.08399122614419e-07,2.12058994649183,0.645,0.11,0.535,"M",-5.98379218158992e-05,"",3.01,41538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ABHD17B","chr9",72004005,72004322,318,"*","chr9:72004005-72004322",-0.000273009312710061,0.000273009312710061,3.25363456469222e-07,4.08391868532255,0.56,0,0.56,"M",-5.983792181587e-05,"",2.7575,-92812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ADGRG2","chrX",19281470,19281885,416,"*","chrX:19281470-19281885",0.0001619016718349,0.0001619016718349,1.16432161162517e-07,2.20147837023141,0,0.605,-0.605,"U",6.86826474002521e-05,"",5.7675,-158833,"ENSG00000173698",55.7595145296894,0.98693622036585,0.239641927729135,7.09082074659603e-07,6.72735474335023e-06,79.9529502884314,78.6981389896823,33.6971244532011,28.9314207826745,84.0226465779564,44.0823760438863,32.1915822297748,64.4998768719087,"protein_coding","adhesion G protein-coupled receptor G2 [Source:HGNC Symbol;Acc:HGNC:4516]"
"5","AGAP9","chr10",48172896,48173012,117,"*","chr10:48172896-48173012",-0.000175533410171313,0.000175533410171313,1.41944860902963e-07,2.43243398774892,0.385,0,0.385,"M",-5.983792181587e-05,"",4.105,-649258,"ENSG00000204172",365.876766632577,-0.506968839436224,0.15854251154665,0.000152665969897937,0.000885782808388185,314.259512939251,192.753412887772,407.653017775311,468.41347933854,314.51720408235,491.09313662926,396.713910419871,341.610458988257,"protein_coding","ArfGAP with GTPase domain, ankyrin repeat and PH domain 9 [Source:HGNC Symbol;Acc:HGNC:23463]"
"6","AKAP4","chrX",50395876,50397109,1234,"*","chrX:50395876-50397109",0.000246901228613482,0.000246901228613482,2.71401256270513e-07,3.64158267975107,0.91,0.465,0.445,"M",-6.86826474002412e-05,"",2.4225,-194869,"ENSG00000147081",2.34380525060053,0.669916223910019,0.933494687295333,0.0147366321851245,0.0473644938788978,3.33137292868464,2.2811054779618,0.821881084224418,0,3.40632350991715,0,0.946811242052199,7.96294776196403,"protein_coding","A-kinase anchoring protein 4 [Source:HGNC Symbol;Acc:HGNC:374]"
"7","ALAS1","chr3",52220559,52220827,269,"*","chr3:52220559-52220827",-0.000299154035127821,0.000299154035127821,3.89175119709882e-07,4.52687543535703,0.555,0,0.555,"M",-5.983792181587e-05,"",2.8025,22473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","AP1S2","chrX",15911526,15913115,1590,"*","chrX:15911526-15913115",0.000220167206986403,0.000220167206986403,2.16427412769727e-07,3.18864173258544,0.78,0.375,0.405,"M",-6.86826474003352e-05,"",2.815,-56595,"ENSG00000182287",1831.72671257452,0.233952000574407,0.0862370388790829,0.00397264102276485,0.0154746150085381,1971.06231613841,2086.07095959607,1567.32722761596,1913.60683176833,1989.29292979162,1733.90679105953,1464.71699145475,1927.82965317149,"protein_coding","adaptor related protein complex 1 subunit sigma 2 [Source:HGNC Symbol;Acc:HGNC:560]"
"9","APOBEC4","chr1",183646458,183647316,859,"*","chr1:183646458-183647316",0.000183424104039882,0.000183424104039882,1.50204130869522e-07,2.56612200537974,1,0.555,0.445,"M",-6.86826474003119e-05,"",3.5925,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ARL15","chr5",54433693,54434456,764,"*","chr5:54433693-54434456",-0.000183648862575115,0.000183648862575115,1.48566605121863e-07,2.56992997506166,0.34,0.71,-0.37,"U",5.98379218158457e-05,"",2.895,-123111,"ENSG00000185305",471.386945182225,-0.437495372051053,0.0866320336449152,7.69034429479866e-08,8.72926247866605e-07,418.64253137137,391.209589470449,551.482207514584,559.340801798374,398.539850660307,555.283263149305,520.74618312871,375.851134364702,"protein_coding","ADP ribosylation factor like GTPase 15 [Source:HGNC Symbol;Acc:HGNC:25945]"
"11","ARPC5","chr1",183646458,183647316,859,"*","chr1:183646458-183647316",0.000183424104039882,0.000183424104039882,1.50204130869522e-07,2.56612200537974,1,0.555,0.445,"M",-6.86826474003119e-05,"",3.5925,-10675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ARPP21","chr3",35690501,35690576,76,"*","chr3:35690501-35690576",-0.000159001393138502,0.000159001393138502,1.11052325212479e-07,2.15234042166102,0.6,0,0.6,"M",-5.983792181587e-05,"",3.23,51556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ARX","chrX",25383093,25383753,661,"*","chrX:25383093-25383753",0.000184042359629765,0.000184042359629765,1.53555159072251e-07,2.57659679575653,0,0.47,-0.47,"U",6.86826474002198e-05,"",1.7475,-367128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ASB9","chrX",15001854,15002644,791,"*","chrX:15001854-15002644",0.000186963075234075,0.000186963075234075,1.56112293110803e-07,2.62608099647541,0,0.355,-0.355,"U",6.86826474002759e-05,"",3.475,267823,"ENSG00000102048",13.5660455976928,1.38381771205514,0.56386091241917,0.000131341661504267,0.000773621723084591,14.4359493576335,25.0921602575799,3.28752433689767,9.64380692755817,23.84426456942,7.73375018313795,3.7872449682088,20.7036641811065,"protein_coding","ankyrin repeat and SOCS box containing 9 [Source:HGNC Symbol;Acc:HGNC:17184]"
"15","ATG3","chr3",112562963,112562985,23,"*","chr3:112562963-112562985",-0.000249006250114446,0.000249006250114446,2.71595467188527e-07,3.67724698966112,0.635,0.16,0.475,"M",-5.98379218158904e-05,"SLC35A5",24.76,-917,"ENSG00000144848",1389.92272046498,0.319979518956448,0.0878546927089013,0.000103530804076044,0.000626557728647315,1446.92630869203,1788.38669472205,1243.50608043154,1328.08998259515,1518.08484425308,1171.6631527454,1150.37565909342,1472.34904118715,"protein_coding","autophagy related 3 [Source:HGNC Symbol;Acc:HGNC:20962]"
"16","ATP11B","chr3",182216500,182216950,451,"*","chr3:182216500-182216950",-0.000215719558739118,0.000215719558739118,2.04663369275231e-07,3.11328748780006,0.575,0,0.575,"M",-5.983792181587e-05,"",3.73,-576553,"ENSG00000058063",2710.0111493934,-0.168000691279137,0.0623974637503532,0.00548767639172883,0.0204832818382242,2711.7375639493,2510.35657849697,2784.53311335233,2964.78178687217,2391.23910396184,2835.19281713837,2923.75311545719,2558.49511591904,"protein_coding","ATPase phospholipid transporting 11B (putative) [Source:HGNC Symbol;Acc:HGNC:13553]"
"17","ATP13A4","chr3",193788745,193788858,114,"*","chr3:193788745-193788858",-0.000230264166075631,0.000230264166075631,2.32818312888562e-07,3.35970938103589,0.665,0.22,0.445,"M",-5.98379218158588e-05,"",3.4575,-195634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
