"","segment_id","annotated_genes","seqnames","start","end","width","strand","average_shap_value","reliability_shap_value","shap_variance","z_score","avg_meth_R","avg_meth_S","diff","direction","mean_coef","gene_symbol","avg_depth","dist_to_TSS","baseMean","log2FoldChange","lfcSE","pvalue","padj","type","description","gene_members","gene_dist.to.feature","gene_feature.name","cgi_members","reg_members"
"1","chr7:157428342-157428390","DNAJB6","chr7",157428342,157428390,49,"*",0.000190514226162783,0.000190514226162783,1.59048691693815e-07,6.56502065804118,0.465,0,0.465,"M",4.27618147095861e-05,"",24.96,92961,2225.5376354434,0.561193509138916,0.139784693748805,2.86732362871763e-05,0.000197580168205981,"protein_coding","DnaJ heat shock protein family (Hsp40) member B6 [Source:HGNC Symbol;Acc:HGNC:14888]","",-37841,"NR_110157.1","",""
"2","chr9:134602615-134602787","RXRA","chr9",134602615,134602787,173,"*",0.000180852869276433,0.000180852869276433,1.4362340161837e-07,6.19430632286822,0.445,0,0.445,"M",4.27618147095861e-05,"",3.215,285517,NA,NA,NA,NA,NA,NA,NA,"",-39016,"XM_017014266.3","","enhD"
"3","chr1:2811691-2811736","PEX10","chr1",2811691,2811736,46,"*",0.000176027154426668,0.000176027154426668,1.36198419582593e-07,6.00913961250764,0.435,0,0.435,"M",4.27618147095861e-05,"",5.5775,-397894,NA,NA,NA,NA,NA,NA,NA,"",-2322,"XR_007065386.1","","enhP"
"4","chr18:62763104-62763769","BCL2","chr18",62763104,62763769,666,"*",0.000175223216909221,0.000175223216909221,1.34979568781589e-07,5.97829185832497,0.52,0,0.52,"M",4.27618147095929e-05,"",3.6475,556359,6352.46788926408,0.803056480161056,0.207457442034233,2.7745678161852e-05,0.000191970458333218,"protein_coding","BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990]","exon,intron",10087,"XR_001753476.2","","enhD"
"5","chr4:9496235-9496694","DRD5","chr4",9496235,9496694,460,"*",0.000171205101605871,0.000171205101605871,1.28965231304089e-07,5.82411341725793,0.51,0,0.51,"M",4.27618147095929e-05,"",3.3775,-284940,NA,NA,NA,NA,NA,NA,NA,"",16410,"XR_007058022.1","shores","enhD"
"6","chr15:39036158-39036315","THBS1","chr15",39036158,39036315,158,"*",0.000169197064172448,0.000169197064172448,1.26008012411967e-07,5.74706334335108,0.495,1,-0.505,"U",-4.27618147096147e-05,"",2.13,-544764,NA,NA,NA,NA,NA,NA,NA,"intron",16924,"NR_188221.1","",""
"7","chr19:28485499-28485669","UQCRFS1","chr19",28485499,28485669,171,"*",0.0001657303246479,0.0001657303246479,1.20978527229684e-07,5.61404165155575,0.545,1,-0.455,"U",-4.27618147095791e-05,"",1.665,727482,3645.4381566374,-0.980236230093659,0.274163944431291,5.42373500339759e-05,0.000348597689760271,"protein_coding","ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:12587]","intron",40217,"XR_935886.3","",""
"8","chr8:16032071-16032105","TUSC3","chr8",16032071,16032105,35,"*",0.0001657303246479,0.0001657303246479,1.20978527229684e-07,5.61404165155575,0.545,1,-0.455,"U",-4.27618147095791e-05,"",3.455,614856,96.6072350295573,5.83757760103452,0.755723925601069,1.13578735000667e-15,4.01320832443387e-14,"protein_coding","tumor suppressor candidate 3 [Source:HGNC Symbol;Acc:HGNC:30242]","",154168,"NM_001363744.1","",""
"9","chr1:65684694-65684827","LEPR","chr1",65684694,65684827,134,"*",0.000161850244455169,0.000161850244455169,1.18737559610979e-07,5.46515973300265,0.44,1,-0.56,"U",-4.27618147095989e-05,"",1.7725,264042,253.033095233996,-1.55598970799569,0.45947665173061,3.41624896029111e-05,0.000231170968300842,"protein_coding","leptin receptor [Source:HGNC Symbol;Acc:HGNC:6554]","",-107683,"NM_001297440.2","",""
"10","chr14:81669061-81669066","SEL1L","chr14",81669061,81669066,6,"*",0.000161850244455169,0.000161850244455169,1.18737559610979e-07,5.46515973300265,0.44,1,-0.56,"U",-4.27618147095989e-05,"",3.6,-135208,16198.5921441019,-1.57098779142664,0.232171735550962,6.7540389075198e-13,1.72521906801141e-11,"protein_coding","SEL1L adaptor subunit of ERAD E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:10717]","",-46001,"NR_110074.1","",""
"11","chr6:120309537-120309570","MAN1A1","chr6",120309537,120309570,34,"*",0.000161850244455169,0.000161850244455169,1.18737559610979e-07,5.46515973300265,0.44,1,-0.56,"U",-4.27618147095989e-05,"",2.1375,-959776,NA,NA,NA,NA,NA,NA,NA,"",294360,"NR_036098.1","",""
"12","chr7:157757331-157757390","DNAJB6","chr7",157757331,157757390,60,"*",0.000161018075496198,0.000161018075496198,1.14296314917578e-07,5.43322871482317,0.525,0,0.525,"M",4.27618147095929e-05,"",8.1175,421950,2225.5376354434,0.561193509138916,0.139784693748805,2.86732362871763e-05,0.000197580168205981,"protein_coding","DnaJ heat shock protein family (Hsp40) member B6 [Source:HGNC Symbol;Acc:HGNC:14888]","intron",-97195,"NR_038966.1","shores",""
"13","chr11:70084253-70084394","FADD","chr11",70084253,70084394,142,"*",0.000157164671388818,0.000157164671388818,1.08964082000444e-07,5.28537037995112,0.475,0,0.475,"M",4.27618147095929e-05,"",3.2425,-118902,NA,NA,NA,NA,NA,NA,NA,"intron",-1024,"XM_011545131.3","",""
"14","chr6:108725649-108725856","FOXO3","chr6",108725649,108725856,208,"*",0.000154798173952494,0.000154798173952494,1.05748297560867e-07,5.19456589626263,0.43,0,0.43,"M",4.27618147095929e-05,"",1.77,165814,12213.0385130848,-0.775356019909551,0.302564413560042,0.00279357919304691,0.0105722269408441,"protein_coding","forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]","",-12406,"XR_001744280.2","","enhD"
"15","chr15:39173220-39174316","THBS1","chr15",39173220,39174316,1097,"*",0.000152961650726832,0.000152961650726832,1.06381426688592e-07,5.12409696579665,0.345,0.79,-0.445,"U",-4.27618147095676e-05,"",2.2675,-406763,NA,NA,NA,NA,NA,NA,NA,"prom,exon,intron",0,"XR_007064591.1","","enhD"
"16","chr21:42666900-42666979","NDUFV3","chr21",42666900,42666979,80,"*",0.000150432656402972,0.000150432656402972,9.9933707214272e-08,5.02705734077768,0.5,0.08,0.42,"M",4.27618147096147e-05,"",5.9475,-212665,1521.02309534728,-0.409587832339523,0.185016510526948,0.0173905746548144,0.047929063647161,"protein_coding","NADH:ubiquinone oxidoreductase subunit V3 [Source:HGNC Symbol;Acc:HGNC:7719]","intron",-13243,"XR_244322.4","shores","enhD"
"17","chr16:683509-683660","STUB1","chr16",683509,683660,152,"*",0.000145702926506422,0.000145702926506422,9.67595610784361e-08,4.84557365326123,0.51,0.98,-0.47,"U",-4.27618147095901e-05,"JMJD8",30.955,3285,NA,NA,NA,NA,NA,NA,NA,"prom,exon,intron",675,"NM_001005920.4","CpGi",""
