start,end,chrom,gene_symbol,segment_id,length
648,1601,chrMT,MT-RNR1,chrMT:648-1601,953
1602,1670,chrMT,MT-TV,chrMT:1602-1670,68
1671,3229,chrMT,MT-RNR2,chrMT:1671-3229,1558
4402,4469,chrMT,MT-TM,chrMT:4402-4469,67
5587,5655,chrMT,MT-TA,chrMT:5587-5655,68
5761,5826,chrMT,MT-TC,chrMT:5761-5826,65
5904,7445,chrMT,MT-CO1,chrMT:5904-7445,1541
7586,8269,chrMT,MT-CO2,chrMT:7586-8269,683
8527,9207,chrMT,MT-ATP6,chrMT:8527-9207,680
9207,9990,chrMT,MT-CO3,chrMT:9207-9990,783
9991,10058,chrMT,MT-TG,chrMT:9991-10058,67
10405,10469,chrMT,MT-TR,chrMT:10405-10469,64
10760,12137,chrMT,MT-ND4,chrMT:10760-12137,1377
12138,12206,chrMT,MT-TH,chrMT:12138-12206,68
12207,12265,chrMT,MT-TS2,chrMT:12207-12265,58
12266,12336,chrMT,MT-TL2,chrMT:12266-12336,70
12337,14148,chrMT,MT-ND5,chrMT:12337-14148,1811
14149,14673,chrMT,MT-ND6,chrMT:14149-14673,524
14747,15887,chrMT,MT-CYB,chrMT:14747-15887,1140
15956,16023,chrMT,MT-TP,chrMT:15956-16023,67
5337745,5338964,chrY,EIF4A1P2,chrY:5337745-5338964,1219
11957208,11987386,chrY,MXRA5Y,chrY:11957208-11987386,30178
7341531,7341642,chrY,Y_RNA,chrY:7341531-7341642,111
14522573,14845654,chrY,NLGN4Y,chrY:14522573-14845654,323081
11981025,12030877,chr18,IMPA2,chr18:11981025-12030877,49852
9708275,9862551,chr18,RAB31,chr18:9708275-9862551,154276
9082601,9083101,chr21,SOWAHCP2,chr21:9082601-9083101,500
5750393,5864395,chr20,SHLD1,chr20:5750393-5864395,114002
5911510,5925353,chr20,CHGB,chr20:5911510-5925353,13843
18269116,18485879,chr21,TMPRSS15,chr21:18269116-18485879,216763
14819699,14918552,chr21,LINC02246,chr21:14819699-14918552,98853
12984694,12991173,chr18,CEP192-DT,chr18:12984694-12991173,6479
26655737,27190698,chr18,AQP4-AS1,chr18:26655737-27190698,534961
4120980,4187747,chr20,SMOX,chr20:4120980-4187747,66767
29004384,29019360,chr21,RWDD2B,chr21:29004384-29019360,14976
27420380,27421023,chr21,RPL10P1,chr21:27420380-27421023,643
9781910,9838011,chr21,LINC01667,chr21:9781910-9838011,56101
29077471,29175889,chr21,MAP3K7CL,chr21:29077471-29175889,98418
29748175,29764002,chr21,GRIK1-AS1,chr21:29748175-29764002,15827
25639258,25717562,chr21,JAM2,chr21:25639258-25717562,78304
2481817,2524702,chr20,ZNF343,chr20:2481817-2524702,42885
5928085,5929318,chr20,KANK1P1,chr20:5928085-5929318,1233
26466209,26573286,chr21,CYYR1,chr21:26466209-26573286,107077
28997613,28998033,chr21,RPL23P2,chr21:28997613-28998033,420
18383367,18467281,chr20,DZANK1,chr20:18383367-18467281,83914
45212995,45683688,chr18,SLC14A2,chr18:45212995-45683688,470693
18504633,18505066,chr20,RPS19P1,chr20:18504633-18505066,433
24469629,24666616,chr20,SYNDIG1,chr20:24469629-24666616,196987
22054074,22074654,chr20,LINC01432,chr20:22054074-22074654,20580
26016253,26091217,chr18,SS18,chr18:26016253-26091217,74964
5544439,5611006,chr20,GPCPD1,chr20:5544439-5611006,66567
24306939,24547942,chr21,LINC01684,chr21:24306939-24547942,241003
24949269,24959928,chr20,CST7,chr20:24949269-24959928,10659
36385392,36419015,chr21,CHAF1B,chr21:36385392-36419015,33623
14179097,14252140,chr18,ANKRD20A5P,chr18:14179097-14252140,73043
28116094,28228667,chr21,LINC01695,chr21:28116094-28228667,112573
17493905,17569220,chr20,BFSP1,chr20:17493905-17569220,75315
23994213,24015339,chr18,TTC39C-AS1,chr18:23994213-24015339,21126
14337423,14342524,chr18,CYP4F35P,chr18:14337423-14342524,5101
50375040,50394168,chr18,SKA1,chr18:50375040-50394168,19128
17178790,17258235,chr22,ADA2,chr22:17178790-17258235,79445
17570075,17609919,chr20,DSTN,chr20:17570075-17609919,39844
25734264,25735093,chr20,VN1R108P,chr20:25734264-25735093,829
20998409,21543329,chr21,NCAM2,chr21:20998409-21543329,544920
13237801,13239674,chr20,ISM1-AS1,chr20:13237801-13239674,1873
25880550,26171128,chr21,APP,chr21:25880550-26171128,290578
17036570,17060825,chr22,CECR7,chr22:17036570-17060825,24255
25985210,26086917,chr20,FAM182A,chr20:25985210-26086917,101707
17084954,17115694,chr22,IL17RA,chr22:17084954-17115694,30740
19179473,19291719,chr22,CLTCL1,chr22:19179473-19291719,112246
37951425,38121360,chr21,DSCR4,chr21:37951425-38121360,169935
33432485,33479974,chr21,TMEM50B,chr21:33432485-33479974,47489
32772100,32955437,chr21,C21orf62-AS1,chr21:32772100-32955437,183337
6511416,6590653,chr18,LINC01387,chr18:6511416-6590653,79237
31873020,32044633,chr21,HUNK,chr21:31873020-32044633,171613
18605815,18611919,chr22,RIMBP3,chr22:18605815-18611919,6104
17788974,17819386,chr21,C21orf91,chr21:17788974-17819386,30412
52340197,53535903,chr18,DCC,chr18:52340197-53535903,1195706
50560087,50731826,chr18,MAPK4,chr18:50560087-50731826,171739
45825675,45844094,chr18,SIGLEC15,chr18:45825675-45844094,18419
10637684,10673999,chr20,JAG1,chr20:10637684-10673999,36315
32790673,32813743,chr21,C21orf62,chr21:32790673-32813743,23070
3604340,3713649,chrX,PRKX,chrX:3604340-3713649,109309
38206156,38208644,chr21,DSCR10,chr21:38206156-38208644,2488
4852356,5010293,chr20,SLC23A2,chr20:4852356-5010293,157937
20946906,21111813,chr18,ROCK1,chr18:20946906-21111813,164907
10939388,10961338,chr22,FRG1FP,chr22:10939388-10961338,21950
1336616,1382689,chrX,IL3RA,chrX:1336616-1382689,46073
22900976,22901437,chr22,IGLC2,chr22:22900976-22901437,461
1462581,1537185,chrX,P2RY8,chrX:1462581-1537185,74604
12975110,12977227,chrX,TMSB4X,chrX:12975110-12977227,2117
23536881,23547797,chr22,PCAT14,chr22:23536881-23547797,10916
22887780,22896111,chr22,IGLL5,chr22:22887780-22896111,8331
1615059,1643081,chrX,ASMT,chrX:1615059-1643081,28022
22686726,22687271,chr22,IGLV3-25,chr22:22686726-22687271,545
22819010,22819756,chr22,IGLV3-9,chr22:22819010-22819756,746
22792491,22793007,chr22,IGLV2-11,chr22:22792491-22793007,516
29878636,29879363,chr20,DUX4L37,chr20:29878636-29879363,727
304529,318819,chrX,GTPBP6,chrX:304529-318819,14290
9786429,9949443,chrX,SHROOM2,chrX:9786429-9949443,163014
8528874,8732137,chrX,ANOS1,chrX:8528874-8732137,203263
1403139,1453762,chrX,ASMTL,chrX:1403139-1453762,50623
1187549,1212723,chrX,CRLF2,chrX:1187549-1212723,25174
54717860,54895516,chr18,RAB27B,chr18:54717860-54895516,177656
11111301,11123086,chrX,HCCS,chrX:11111301-11123086,11785
13389392,13638932,chr20,TASP1,chr20:13389392-13638932,249540
62325287,62391288,chr18,TNFRSF11A,chr18:62325287-62391288,66001
5840637,6228867,chrX,NLGN4X,chrX:5840637-6228867,388230
22547701,22559361,chr22,PRAME,chr22:22547701-22559361,11660
13035617,13044682,chrX,FAM9C,chrX:13035617-13044682,9065
