"","annotated_genes","seqnames","start","end","width","strand","segment_id","average_shap_value","reliability_shap_value","shap_variance","z_score","avg_meth_R","avg_meth_S","diff","direction","mean_coef","gene_symbol","avg_depth","dist_to_TSS","X","baseMean","log2FoldChange","lfcSE","pvalue","padj","RPMI8226_1_3b","JJN3_1_3b","OPM_4_1","MM1R_1_2","OPM_2_1","OPM_3_3","JJN3_4_2b","OPM_4_3","RPMI8226_4_1b","MM1R_3_1","MM1R_2_2","RPMI8226_2_3b","JJN3_2_2b","JJN3_3_3b","RPMI8226_3_2b","MM1R_4_2","type","description"
"1","AAR2","chr20",36145720,36146551,832,"*","chr20:36145720-36146551",-0.0001617460532204,0.0001617460532204,1.15281306033451e-07,5.45584179586811,0.405,0,0.405,"M",-4.2734650295144e-05,"",2.9925,-89580,"ENSG00000131043",1450.44067815285,-0.418553161619166,0.0878968464572531,1.24199673460466e-06,1.16739575427122e-05,1056.28309030768,1184.64471429631,1722.03131693463,1603.43540153361,1627.0777497492,1761.19288224302,1478.29239351537,1807.78409900757,1158.61179327269,1546.58434545336,1543.71232476326,1100.98838938499,1183.75374404424,1359.36756317425,1364.29917786695,1708.9918648984,"protein_coding","AAR2 splicing factor [Source:HGNC Symbol;Acc:HGNC:15886]"
"2","AASS","chr7",122183552,122185295,1744,"*","chr7:122183552-122185295",7.82029037640168e-05,7.82029037640168e-05,2.62272063453437e-08,2.25245449386794,0,0.475,-0.475,"U",1.67296221985043e-05,"",3.6775,-39244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","AATK","chr17",81166922,81167806,885,"*","chr17:81166922-81167806",-0.0001144972380444,0.0001144972380444,5.78454491587583e-08,3.64412826155455,0.53,0.04,0.49,"M",-4.27346502951237e-05,"AC027601",3.4825,-701,"ENSG00000181409",3.36837513121207,4.37742647450041,1.3823666614796,5.23004934332959e-05,0.000336977327985765,16.9251478417837,0,0,0,0,0,5.66395553071023,0,0,0,0,4.43946931203627,8.74499072161627,5.69113214247591,12.4293065507707,0,"protein_coding","apoptosis associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:21]"
"4","ABCA13","chr7",48872751,48874515,1765,"*","chr7:48872751-48874515",7.67331126295989e-05,7.67331126295989e-05,2.5262995829839e-08,2.19609666815488,0,0.51,-0.51,"U",1.67296221985043e-05,"",2.3775,701293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ABCA2","chr9",137007774,137007945,172,"*","chr9:137007774-137007945",-7.4303943090607e-05,7.4303943090607e-05,2.30661663338455e-08,2.10295233607927,0.22,0,0.22,"M",-4.2734650295144e-05,"",5.7475,20970,"ENSG00000107331",1868.41748527115,4.98987710419103,0.283467710556653,4.10572565464965e-70,5.13429918604493e-67,4208.20721338894,2977.40704859806,52.8230465317371,176.13770638726,66.5406674678349,69.1599100677691,3699.37209805817,64.692075113591,3728.79126137722,193.56141931383,139.214185104051,2815.733411159,4205.54553794092,4243.14552165454,3129.99184375585,124.356818419574,"protein_coding","ATP binding cassette subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:32]"
"6","ABCA8","chr17",68912952,68914880,1929,"*","chr17:68912952-68914880",8.42837922002638e-05,8.42837922002638e-05,3.04001680882213e-08,2.4856207190856,0,0.46,-0.46,"U",1.6729622198502e-05,"",3.9475,40512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ABCB9","chr12",122981424,122981683,260,"*","chr12:122981424-122981683",-8.65376896753167e-05,8.65376896753167e-05,3.22798652778165e-08,2.57204440072283,0.37,0,0.37,"M",-4.2734650295144e-05,"ARL6IP4",3.755,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ABCC4","chr13",94828728,94828965,238,"*","chr13:94828728-94828965",-8.23449604714446e-05,8.23449604714446e-05,3.067455092466e-08,2.41127795153106,0.54,1,-0.46,"U",4.27346502951165e-05,"",2.2775,472510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ABHD12","chr20",25562191,25562223,33,"*","chr20:25562191-25562223",-0.0001453196153024,0.0001453196153024,9.32864760649216e-08,4.82598473414591,0.555,1,-0.445,"U",4.2734650295144e-05,"",4.3375,-171356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ABHD17B","chr9",71935018,71936710,1693,"*","chr9:71935018-71936710",-7.80671729691534e-05,7.80671729691534e-05,2.57723369484766e-08,2.24725001800625,0.475,1,-0.525,"U",4.2734650295138e-05,"",1.78,-23825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
