"","annotated_genes","seqnames","start","end","width","strand","startCpG","endCpG","target","region","lenCpG","bp","tg_mean","bg_mean","delta_means","delta_quants","delta_maxmin","ttest","direction","dist_to_TSS","X","baseMean","log2FoldChange","lfcSE","pvalue","padj","SH.SY5Y_C2","SH.SY5Y_C1","SH.SY5Y_J2","SH.SY5Y_J4","SH.SY5Y_C4","SH.SY5Y_J3","SH.SY5Y_J1","SH.SY5Y_C3","type","description"
"1","A3GALT2","chr1",33261496,33261776,281,"*",564076,564083,"R","chr1:33261496-33261776","7CpGs","280bp",0.756,0.168,0.588,0.553,0.541,0.00318,"M",59322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","AADAC","chr3",151525613,151526387,775,"*",5842768,5842774,"R","chr3:151525613-151526387","6CpGs","774bp",1,0.633,0.367,0.335,0.333,0.00816,"M",-287686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","AADAT","chr4",170168063,170169894,1832,"*",7557505,7557517,"R","chr4:170168063-170169894","12CpGs","1831bp",0.89,0.571,0.319,0.259,0.253,0.0344,"M",-76364,"ENSG00000109576",910.428350141781,0.774238531529277,0.0853433271172926,4.46888459059006e-21,2.22630926778342e-19,1102.68443939462,1206.70479784179,696.955159422306,713.641712639305,1202.43219900075,658.915515603353,593.650648766729,1108.44232846539,"protein_coding","aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]"
"4","AADAT","chr4",170274826,170275952,1127,"*",7558111,7558120,"R","chr4:170274826-170275952","9CpGs","1126bp",0.95,0.63,0.32,0.285,0.26,0.0245,"M",-183127,"ENSG00000109576",910.428350141781,0.774238531529277,0.0853433271172926,4.46888459059006e-21,2.22630926778342e-19,1102.68443939462,1206.70479784179,696.955159422306,713.641712639305,1202.43219900075,658.915515603353,593.650648766729,1108.44232846539,"protein_coding","aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]"
"5","AADAT","chr4",170408420,170408983,564,"*",7558877,7558881,"R","chr4:170408420-170408983","4CpGs","563bp",0.414,0.109,0.305,0.29,0.282,0.00301,"M",-316721,"ENSG00000109576",910.428350141781,0.774238531529277,0.0853433271172926,4.46888459059006e-21,2.22630926778342e-19,1102.68443939462,1206.70479784179,696.955159422306,713.641712639305,1202.43219900075,658.915515603353,593.650648766729,1108.44232846539,"protein_coding","aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]"
"6","AADAT","chr4",171051821,171053571,1751,"*",7562667,7562672,"R","chr4:171051821-171053571","5CpGs","1750bp",0.947,0.542,0.406,0.34,0.311,0.0263,"M",-960122,"ENSG00000109576",910.428350141781,0.774238531529277,0.0853433271172926,4.46888459059006e-21,2.22630926778342e-19,1102.68443939462,1206.70479784179,696.955159422306,713.641712639305,1202.43219900075,658.915515603353,593.650648766729,1108.44232846539,"protein_coding","aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]"
"7","AADAT","chr4",170317169,170317547,379,"*",7558321,7558326,"R","chr4:170317169-170317547","5CpGs","378bp",0.167,0.774,0.607,0.523,0.492,0.0175,"U",-225470,"ENSG00000109576",910.428350141781,0.774238531529277,0.0853433271172926,4.46888459059006e-21,2.22630926778342e-19,1102.68443939462,1206.70479784179,696.955159422306,713.641712639305,1202.43219900075,658.915515603353,593.650648766729,1108.44232846539,"protein_coding","aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]"
"8","AARD","chr8",116932106,116932293,188,"*",13476293,13476300,"R","chr8:116932106-116932293","7CpGs","187bp",0.144,0.614,0.47,0.36,0.337,0.0446,"U",-5914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","AARD","chr8",116904621,116904725,105,"*",13476079,13476082,"R","chr8:116904621-116904725","3CpGs","104bp",0.729,0.261,0.468,0.405,0.352,0.0467,"M",-33482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ABCA10","chr17",69222592,69223823,1232,"*",23849896,23849900,"R","chr17:69222592-69223823","4CpGs","1231bp",0.159,0.472,0.313,0.266,0.244,0.0242,"U",21023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","ABCA13","chr7",48425976,48425993,18,"*",11335986,11335990,"R","chr7:48425976-48425993","4CpGs","17bp",0.446,0.914,0.468,0.359,0.328,0.0442,"U",254518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ABCA13","chr7",48203261,48203429,169,"*",11334404,11334414,"R","chr7:48203261-48203429","10CpGs","168bp",0.859,0.486,0.373,0.328,0.322,0.0139,"M",31803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ABCA13","chr7",48203194,48203256,63,"*",11334395,11334404,"R","chr7:48203194-48203256","9CpGs","62bp",0.646,0.272,0.374,0.33,0.295,0.0328,"M",31736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ABCA6","chr17",69222592,69223823,1232,"*",23849896,23849900,"R","chr17:69222592-69223823","4CpGs","1231bp",0.159,0.472,0.313,0.266,0.244,0.0242,"U",-80697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","ABCA8","chr17",68963855,68963917,63,"*",23848115,23848118,"R","chr17:68963855-68963917","3CpGs","62bp",0.641,0.941,0.3,0.231,0.216,0.0428,"U",-8463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
