start,end,chrom,gene_symbol,segment_id,length
577,647,chrMT,MT-TF,chrMT:577-647,70
648,1601,chrMT,MT-RNR1,chrMT:648-1601,953
1602,1670,chrMT,MT-TV,chrMT:1602-1670,68
1671,3229,chrMT,MT-RNR2,chrMT:1671-3229,1558
3230,3304,chrMT,MT-TL1,chrMT:3230-3304,74
3307,4262,chrMT,MT-ND1,chrMT:3307-4262,955
4263,4331,chrMT,MT-TI,chrMT:4263-4331,68
4329,4400,chrMT,MT-TQ,chrMT:4329-4400,71
4402,4469,chrMT,MT-TM,chrMT:4402-4469,67
4470,5511,chrMT,MT-ND2,chrMT:4470-5511,1041
5512,5579,chrMT,MT-TW,chrMT:5512-5579,67
5587,5655,chrMT,MT-TA,chrMT:5587-5655,68
5657,5729,chrMT,MT-TN,chrMT:5657-5729,72
5761,5826,chrMT,MT-TC,chrMT:5761-5826,65
5826,5891,chrMT,MT-TY,chrMT:5826-5891,65
5904,7445,chrMT,MT-CO1,chrMT:5904-7445,1541
7446,7514,chrMT,MT-TS1,chrMT:7446-7514,68
7518,7585,chrMT,MT-TD,chrMT:7518-7585,67
7586,8269,chrMT,MT-CO2,chrMT:7586-8269,683
8295,8364,chrMT,MT-TK,chrMT:8295-8364,69
8366,8572,chrMT,MT-ATP8,chrMT:8366-8572,206
8527,9207,chrMT,MT-ATP6,chrMT:8527-9207,680
9207,9990,chrMT,MT-CO3,chrMT:9207-9990,783
9991,10058,chrMT,MT-TG,chrMT:9991-10058,67
10059,10404,chrMT,MT-ND3,chrMT:10059-10404,345
10405,10469,chrMT,MT-TR,chrMT:10405-10469,64
10470,10766,chrMT,MT-ND4L,chrMT:10470-10766,296
10760,12137,chrMT,MT-ND4,chrMT:10760-12137,1377
12138,12206,chrMT,MT-TH,chrMT:12138-12206,68
12207,12265,chrMT,MT-TS2,chrMT:12207-12265,58
12266,12336,chrMT,MT-TL2,chrMT:12266-12336,70
12337,14148,chrMT,MT-ND5,chrMT:12337-14148,1811
14149,14673,chrMT,MT-ND6,chrMT:14149-14673,524
14674,14742,chrMT,MT-TE,chrMT:14674-14742,68
14747,15887,chrMT,MT-CYB,chrMT:14747-15887,1140
15888,15953,chrMT,MT-TT,chrMT:15888-15953,65
15956,16023,chrMT,MT-TP,chrMT:15956-16023,67
8280198,8282209,chrY,TSPY24P,chrY:8280198-8282209,2011
7853686,7854876,chrY,ZNF92P1Y,chrY:7853686-7854876,1190
5207215,5208069,chrY,VDAC1P6,chrY:5207215-5208069,854
9610571,9621276,chrY,RBMY3AP,chrY:9610571-9621276,10705
7694707,7810305,chrY,RFTN1P1,chrY:7694707-7810305,115598
4801685,4802848,chrY,SERBP1P2,chrY:4801685-4802848,1163
7687739,7689548,chrY,TSPY12P,chrY:7687739-7689548,1809
11332329,11333595,chrY,DUX4L19,chrY:11332329-11333595,1266
7803996,7810683,chrY,TTTY12,chrY:7803996-7810683,6687
9706824,9715262,chrY,TTTY7B,chrY:9706824-9715262,8438
9030594,9039988,chrY,OFD1P3Y,chrY:9030594-9039988,9394
7671743,7676024,chrY,RBMY2HP,chrY:7671743-7676024,4281
21130870,21131181,chrY,TOMM22P1,chrY:21130870-21131181,311
22439593,22441458,chrY,TTTY6,chrY:22439593-22441458,1865
17464879,17465214,chrY,ELOCP35,chrY:17464879-17465214,335
11340579,11385687,chrY,SLC9B1P1,chrY:11340579-11385687,45108
25393154,25394056,chrY,LINC00265-3P,chrY:25393154-25394056,902
3682805,3683868,chrY,USP12PY,chrY:3682805-3683868,1063
25482908,25486705,chrY,CSPG4P1Y,chrY:25482908-25486705,3797
24081704,24090346,chrY,USP9YP31,chrY:24081704-24090346,8642
