"","annotated_genes","seqnames","start","end","width","strand","average_shap_value","reliability_shap_value","z_score","avg_meth_R","avg_meth_S","diff","direction","gene_symbol","dist_to_TSS","X","baseMean","log2FoldChange","lfcSE","pvalue","padj","RPMI8226_1_3b","JJN3_1_3b","OPM_4_1","MM1R_1_2","OPM_2_1","OPM_3_3","JJN3_4_2b","OPM_4_3","RPMI8226_4_1b","MM1R_3_1","MM1R_2_2","RPMI8226_2_3b","JJN3_2_2b","JJN3_3_3b","RPMI8226_3_2b","MM1R_4_2","type","description"
"1","A2M","chr12",9164940,9166881,1942,"*",0.000129057278464205,0.000129057278464205,2.04587642816501,0.05,0.325,-0.275,"U","",-48711,"ENSG00000175899",2.74473703398706,-1.90445177238039,1.54790386857645,0.0123437377993704,0.0362463691307504,0,0,0.812662254334417,9.46194290510075,1.58430160637702,0,0,0,0,17.163081515512,9.8850308949622,0,3.17999662604228,0,0,1.82877674146432,"protein_coding","alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]"
"2","A2M","chr12",9001590,9003242,1653,"*",0.000153352099464736,0.000153352099464736,2.46749854296474,0,0.43,-0.43,"U","",112987,"ENSG00000175899",2.74473703398706,-1.90445177238039,1.54790386857645,0.0123437377993704,0.0362463691307504,0,0,0.812662254334417,9.46194290510075,1.58430160637702,0,0,0,0,17.163081515512,9.8850308949622,0,3.17999662604228,0,0,1.82877674146432,"protein_coding","alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]"
"3","AADAT","chr4",170791782,170792842,1061,"*",-0.00015629348744536,0.00015629348744536,2.51854457540146,0.515,0.17,0.345,"M","",-700083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","AAR2","chr20",36106236,36106449,214,"*",0.000187899633771064,0.000187899633771064,3.0670503764618,0.75,0.88,-0.13,"U","",-129682,"ENSG00000131043",1450.44067815285,-0.418553161619166,0.0878968464572531,1.24199673460466e-06,1.16739575427122e-05,1056.28309030768,1184.64471429631,1722.03131693463,1603.43540153361,1627.0777497492,1761.19288224302,1478.29239351537,1807.78409900757,1158.61179327269,1546.58434545336,1543.71232476326,1100.98838938499,1183.75374404424,1359.36756317425,1364.29917786695,1708.9918648984,"protein_coding","AAR2 splicing factor [Source:HGNC Symbol;Acc:HGNC:15886]"
"5","ABCA12","chr2",215058699,215058932,234,"*",-0.00028529675085798,0.00028529675085798,4.75731919880408,0.355,0.75,-0.395,"U","",79694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ABCA13","chr7",48512686,48514638,1953,"*",0.000403063193422311,0.000403063193422311,6.80108550460772,0.04,0.31,-0.27,"U","",341228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ABCA4","chr1",94062561,94062588,28,"*",-0.000178051116985781,0.000178051116985781,2.89613524707841,0.47,0.75,-0.28,"U","",58560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ABCB5","chr7",20778338,20778570,233,"*",0.000556811033617901,0.000556811033617901,9.46928748591647,0.83,0.46,0.37,"M","",162671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ABCB5","chr7",20579906,20580929,1024,"*",0.000549123232158555,0.000549123232158555,9.33587028109823,0.28,0.645,-0.365,"U","",-34738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ABCB8","chr7",151018009,151018084,76,"*",-0.000216148153183508,0.000216148153183508,3.55728656689827,0.23,0,0.23,"M","",-10338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","ABCC12","chr16",47739373,47741202,1830,"*",0.000245511295871529,0.000245511295871529,4.06686637886804,0.07,0.405,-0.335,"U","",414816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ABCC12","chr16",47849882,47851075,1194,"*",-0.000263917575489708,0.000263917575489708,4.38629637335299,0.2,0.3,-0.1,"U","",304943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ABCC12","chr16",47860368,47861298,931,"*",0.000210940736197694,0.000210940736197694,3.46691495386375,0.05,0.34,-0.29,"U","",294720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ABCC4","chr13",95189323,95189417,95,"*",-0.000328400568002877,0.000328400568002877,5.50536021298466,0.225,0,0.225,"M","",112058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","ABHD12","chr20",25573022,25573072,51,"*",-0.000156646722022776,0.000156646722022776,2.52467475061647,0.5,0.75,-0.25,"U","",-182187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","ABHD16B","chr20",63844600,63845271,672,"*",-0.00063442316235013,0.00063442316235013,10.8161996467213,0.21,0,0.21,"M","",-16227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","ABHD17C","chr15",80719836,80721759,1924,"*",-0.000242226641776862,0.000242226641776862,4.00986316794713,0.885,0.97,-0.085,"U","",40152,"ENSG00000136379",760.252268583963,0.673343002851106,0.311512945960277,0.0106962232845597,0.0321575630575372,411.588822516103,1696.23572795168,661.507075028215,449.07836711132,640.057848976316,627.208839580113,564.777280062249,440.265511189716,1250.00826142727,537.77655415271,546.971709521242,1562.69319783677,457.124514993578,517.893024965308,1322.6244441379,478.225117892919,"protein_coding","abhydrolase domain containing 17C, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:26925]"
"18","ABHD3","chr18",21741935,21742260,326,"*",0.000134170413277642,0.000134170413277642,2.13461183038304,0,0.095,-0.095,"U","MIB1",-37155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","ABLIM1","chr10",114538516,114538798,283,"*",-0.000136409571127641,0.000136409571127641,2.17347107812422,0.46,0,0.46,"M","",229263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","ABLIM2","chr4",8097333,8098656,1324,"*",-0.000760044108762457,0.000760044108762457,12.9962761777793,0.28,0.03,0.25,"M","",60176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ABLIM2","chr4",8159371,8159432,62,"*",-0.00044082013024944,0.00044082013024944,7.45633460288535,0.445,0,0.445,"M","ABLIM2",-539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
