"","seqnames","start","end","width","strand","average_shap_value","reliability_shap_value","z_score","gene_symbol","annotated_genes","dist_to_TSS"
"1","chr2",54557725,54559224,1500,"*",0.000981769076567502,0.000981769076567502,11.0868153108547,"SPTBN1","SPTBN1, EML6","101408, -164275"
"2","chr2",287516,287978,463,"*",0.000951210843622446,0.000951210843622446,10.7398583354211,"FAM150B","SH3YL1, ALKAL2","-22650, 873"
"3","chr4",73742125,73743456,1332,"*",0.000941024809534879,0.000941024809534879,10.624206504864,"CXCL8","CXCL8, CXCL6","1606, -93184"
"4","chr15",93088394,93088441,48,"*",0.000930838798411422,0.000930838798411422,10.5085549350405,"RGMA","RGMA","770"
"5","chr7",45888624,45889100,477,"*",0.000920652811009131,0.000920652811009131,10.3929036345462,"IGFBP1","IGFBP1","264"
"6","chr5",10442052,10442227,176,"*",0.000920652811008766,0.000920652811008766,10.3929036345421,"ROPN1L","ROPN1L","528"
"7","chr22",37018859,37020482,1624,"*",0.000917088292448829,0.000917088292448829,10.3524322309548,"TST","MPST, TST","0, 0"
"8","chr22",49960651,49962644,1994,"*",0.000917088292448829,0.000917088292448829,10.3524322309548,"PIM3","PIM3, IL17REL","0, 50121"
"9","chr22",23973970,23974899,930,"*",0.000917088292448829,0.000917088292448829,10.3524322309548,"DDT","VPREB3, SUSD2","-219545, -206588"
"10","chr22",41543855,41544852,998,"*",0.000917088292448829,0.000917088292448829,10.3524322309548,"POLR3H","POLR3H","0"
"11","chr22",24554515,24556511,1997,"*",0.000917088292448829,0.000917088292448829,10.3524322309548,"GUCD1","SNRPD3, GGT1, GUCD1","0, 0, 0"
"12","chr22",19447099,19448318,1220,"*",0.000917088292448829,0.000917088292448829,10.3524322309548,"C22orf39","HIRA, C22orf39","0, 0"
"13","chr22",38504718,38506715,1998,"*",0.000917088292448829,0.000917088292448829,10.3524322309548,"DDX17","KDELR3, DDX17","36640, 945"
"14","chr22",42090073,42091449,1377,"*",0.000917088292448829,0.000917088292448829,10.3524322309548,"NDUFA6","NAGA, NFAM1","-19231, 340954"
"15","chr22",46761737,46763433,1697,"*",0.000917088292448829,0.000917088292448829,10.3524322309548,"TBC1D22A","TBC1D22A","0"
"16","chr22",41285303,41287016,1714,"*",0.000917088292448829,0.000917088292448829,10.3524322309548,"RANGAP1","RANGAP1","0"
"17","chr22",20857490,20859479,1990,"*",0.000917088292448829,0.000917088292448829,10.3524322309548,"PI4KA","SNAP29, PI4KA","0, 0"
"18","chr22",20079628,20081473,1846,"*",0.000917088292448829,0.000917088292448829,10.3524322309548,"DGCR8","DGCR8, RANBP1","0, -34465"
"19","chr22",40345782,40347422,1641,"*",0.000917088292448829,0.000917088292448829,10.3524322309548,"ADSL","ADSL, SGSM3","0, 0"
"20","chr22",31345644,31347265,1622,"*",0.000917088292448829,0.000917088292448829,10.3524322309548,"PATZ1","PATZ1","0"
"21","chr22",21416906,21418483,1578,"*",0.000917088292448829,0.000917088292448829,10.3524322309548,"HIC2","HIC2, TMEM191C","0, -47940"
"22","chr22",43954264,43956213,1950,"*",0.000907854718253954,0.000907854718253954,10.2475945925725,"SAMM50","SAMM50","0"
"23","chr22",50562680,50563744,1065,"*",0.000907854718253954,0.000907854718253954,10.2475945925725,"SYCE3","SYCE3","0"
"24","chr22",20319318,20320893,1576,"*",0.000907854718253954,0.000907854718253954,10.2475945925725,"DGCR6L","DGCR6L","0"
"25","chr22",28882737,28884444,1708,"*",0.00090785471825365,0.00090785471825365,10.2475945925691,"ZNRF3","ZNRF3","0"
"26","chr22",41091069,41091371,303,"*",0.000898621165058752,0.000898621165058752,10.1427571926197,"EP300","EP300","-1221"
"27","chr9",89604668,89606183,1516,"*",0.000890094999216029,0.000890094999216029,10.0459514408553,"GADD45G","GADD45G","0"
"28","chr11",75430112,75430868,757,"*",0.000869723258777088,0.000869723258777088,9.814651500845,"KLHL35","RPS3, KLHL35","30597, 2335"
"29","chr5",134115143,134115387,245,"*",0.000869723258777088,0.000869723258777088,9.81465150084499,"TCF7","TCF7","462"
"30","chr17",82735272,82735853,582,"*",0.000869723258777088,0.000869723258777088,9.81465150084499,"FN3K","FN3K","0"
"31","chr2",216693635,216694966,1332,"*",0.000859537431624105,0.000859537431624105,9.69900201981503,"IGFBP5","IGFBP2, IGFBP5","60807, 583"
"32","chr9",83219171,83219900,730,"*",-0.000840211299886654,0.000840211299886654,9.47957387989236,"RASEF","RASEF, FRMD3","-155994, 318646"
"33","chr16",2470830,2471879,1050,"*",0.00083916586863951,0.00083916586863951,9.46770409461437,"NTN3","NTN3, TBC1D24","0, -3172"
"34","chr4",173523169,173525051,1883,"*",0.000818794434934048,0.000818794434934048,9.23640763724389,"SCRG1","SCRG1, HAND2","-3937, 5178"
"35","chr17",8117482,8117873,392,"*",0.000818794434933723,0.000818794434933723,9.2364076372402,"ALOXE3","ALOX12B, ALOXE3","-29766, 1174"
"36","chr15",89654154,89654408,255,"*",0.000798423140315714,0.000798423140315714,9.0051127590632,"KIF7","TICRR, KIF7","78685, 8678"
"37","chr5",31193737,31194194,458,"*",0.000788237548526067,0.000788237548526067,8.88946595033929,"CDH6","CDH6","51"
"38","chr19",17795215,17795238,24,"*",-0.000784179588601745,0.000784179588601745,8.8433920329009,"B3GNT3","B3GNT3","387"
"39","chr1",228735017,228736390,1374,"*",0.000778051995652442,0.000778051995652442,8.77381958346638,"RHOU","TRIM17, RAB4A","-318156, -534672"
"40","chr19",18388384,18388534,151,"*",0.000778051995652442,0.000778051995652442,8.77381958346638,"GDF15","GDF15, LRRC25","13653, 9088"
"41","chr19",3358446,3359040,595,"*",0.000778051995652133,0.000778051995652133,8.77381958346287,"NFIC","NFIC, SMIM24","44043, 121485"
"42","chr8",97776530,97776799,270,"*",-0.000771814853548941,0.000771814853548941,8.70300331724211,"LAPTM4B","LAPTM4B, MATN2","1473, -92041"
"43","chr1",1354754,1354833,80,"*",0.000769354045337115,0.000769354045337115,8.67506339755394,"MXRA8","DVL1, MXRA8","-5336, 6944"
"44","chr11",105100922,105102181,1260,"*",0.000767866483260266,0.000767866483260266,8.65817367621824,"CARD17","CARD16","0"
"45","chr4",5892103,5893502,1400,"*",0.000767866483241001,0.000767866483241001,8.6581736759995,"CRMP1","CRMP1","0"
"46","chr6",136922336,136922704,369,"*",0.000767866483240696,0.000767866483240696,8.65817367599604,"SLC35D3","SLC35D3","35"
"47","chr8",144338515,144338648,134,"*",0.00075768101291023,0.00075768101291023,8.54252824631491,"SCRT1","BOP1, TONSL","-47077, 105792"
"48","chr11",121022497,121023638,1142,"*",0.000757681012901095,0.000757681012901095,8.54252824621119,"TBCEL","TBCEL, TBCEL-TECTA","-434, -487"
"49","chr1",230425397,230426266,870,"*",0.000747495586366104,0.000747495586366104,8.42688331378215,"PGBD5","PGBD5","66"
"50","chr5",134114996,134115102,107,"*",0.000737310205408071,0.000737310205408071,8.31123889883211,"TCF7","TCF7","315"
"51","chr6",27863641,27864596,956,"*",-0.000728400718990897,0.000728400718990897,8.21008094033603,"H1F5","H2AC16","-721"
"52","chr7",128031106,128032764,1659,"*",0.000727124871935267,0.000727124871935267,8.19559502302749,"LRRC4","SND1, LRRC4","378912, 0"
"53","chr19",10270778,10270893,116,"*",0.000727124871933807,0.000727124871933807,8.19559502301091,"ICAM1","ICAM1","-200"
"54","chr19",46634524,46634937,414,"*",0.000716939587954984,0.000716939587954984,8.07995170915901,"GNG8","PTGIR, GNG8","-9435, 1604"
"55","chr7",29566139,29566537,399,"*",0.000696569177076977,0.000696569177076977,7.84866686493124,"PRR15","PRR15, WIPF3","2304, -239949"
"56","chr11",64357686,64358631,946,"*",0.00068638405479135,0.00068638405479135,7.73302538693753,"RPS6KA4","RPS6KA4","-517"
"57","chr4",81471573,81472570,998,"*",0.000676198991273039,0.000676198991273039,7.6173845761856,"RASGEF1B","PRKG2, RASGEF1B","-256351, 571674"
"58","chr13",67230633,67231503,871,"*",0.000666013989168506,0.000666013989168506,7.50174446272331,"PCDH9","PCDH9","-188"
"59","chr5",173326827,173328272,1446,"*",0.000666013989168242,0.000666013989168242,7.50174446272031,"STC2","NKX2-5, STC2","-91516, 175"
"60","chr12",130715358,130716087,730,"*",0.000655829051320069,0.000655829051320069,7.3861050788222,"RIMBP2","FZD10, RIMBP2","552899, 52141"
"61","chrX",154443797,154444433,637,"*",0.000645644180740013,0.000645644180740013,7.27046645868363,"FAM50A","FAM50A","0"
"62","chr11",75525064,75525415,352,"*",0.000645644180740012,0.000645644180740012,7.27046645868362,"GDPD5","GDPD5","526"
"63","chrX",30652539,30654078,1540,"*",0.000635459380631591,0.000635459380631591,7.15482863867724,"GK","GK","0"
"64","chr11",8168415,8169343,929,"*",0.000635459380631591,0.000635459380631591,7.15482863867724,"RIC3","RIC3","0"
"65","chr1",241356311,241356823,513,"*",0.000625274654404723,0.000625274654404723,7.03919165751911,"RGS7","GREM2, RGS7","-744156, 551"
"66","chr1",145960348,145961019,672,"*",0.000625274654404723,0.000625274654404723,7.03919165751911,"LIX1L","LIX1L","-2331"
"67","chr10",110005895,110007437,1543,"*",0.000621628929483304,0.000621628929483304,6.99779824009628,"ADD3","ADD3, MXI1","9527, -200168"
"68","chr18",49561616,49561640,25,"*",0.00061509000569293,0.00061509000569293,6.92355555646408,"LIPG","LIPG","917"
"69","chr6",28586880,28587895,1016,"*",0.00061509000569293,0.00061509000569293,6.92355555646408,"ZBED9","ZSCAN23, OR2J1","-143378, -511595"
"70","chr1",209676278,209677272,995,"*",-0.000614516194900833,0.000614516194900833,6.9170405312905,"G0S2","G0S2, HSD11B1","866, -8906"
"71","chr19",52896964,52897813,850,"*",0.000604905438371962,0.000604905438371962,6.80792037951728,"ZNF468","ZNF320","0"
"72","chr5",179796064,179796468,405,"*",0.000594720956580337,0.000594720956580337,6.69228617366729,"LTC4S","ADAMTS2, RNF130","-450603, 275645"
"73","chr1",206117081,206117793,713,"*",0.000584536564741988,0.000584536564741988,6.57665298914325,"AVPR1B","AVPR1B","0"
"74","chr2",226791532,226791552,21,"*",0.000574352267591296,0.000574352267591296,6.46102087969914,"RHBDD1","RHBDD1","-8594"
"75","chr11",115501719,115503557,1839,"*",0.000574352267591296,0.000574352267591296,6.46102087969914,"CADM1","NXPE2, CADM1","823192, 1400"
"76","chr2",31137345,31137730,386,"*",0.000574352267591296,0.000574352267591296,6.46102087969914,"GALNT14","CAPN13, GALNT14","-316803, 17472"
"77","chr7",31052069,31053267,1199,"*",0.000574352267591296,0.000574352267591296,6.46102087969914,"ADCYAP1R1","ADCYAP1R1","0"
"78","chr15",51681263,51681981,719,"*",0.000574352267591296,0.000574352267591296,6.46102087969914,"SCG3","SCG3","0"
"79","chr3",167380031,167380449,419,"*",0.000564168070200816,0.000564168070200816,6.34538990292855,"ZBBX","ZBBX","27425"
"80","chr8",144335908,144336536,629,"*",0.000553983978012011,0.000553983978012011,6.22976012061366,"SCRT1","BOP1, TONSL","-44470, 107904"
"81","chrX",21839411,21840316,906,"*",0.000553983978012011,0.000553983978012011,6.22976012061366,"MBTPS2","MBTPS2","0"
"82","chr7",100603694,100604551,858,"*",0.000553983978012011,0.000553983978012011,6.22976012061366,"PCOLCE","PCOLCE, MOSPD3","1331, -7551"
"83","chr19",52048579,52049446,868,"*",-0.000538774848568983,0.000538774848568983,6.0570762628782,"ZNF432","ZNF614, ZNF432","-18339, 15082"
"84","chr16",30474164,30474646,483,"*",0.000538540353141227,0.000538540353141227,6.05441381101085,"ITGAL","ITGAL, ZNF768","1506, 52175"
"85","chrX",147911593,147912682,1090,"*",0.000533616133058681,0.000533616133058681,5.9985044097938,"FMR1","FMR1","0"
"86","chr3",66494913,66496653,1741,"*",-0.000532458766689904,0.000532458766689904,5.9853637175456,"LRIG1","MAGI1, LRIG1","-455995, 4610"
"87","chr7",1538388,1538737,350,"*",0.000523432393348936,0.000523432393348936,5.88287862951229,"MAFK","MAFK, TMEM184A","7686, 22084"
"88","chr6",83852958,83854584,1627,"*",0.000523432393348936,0.000523432393348936,5.88287862951228,"RIPPLY2","RIPPLY2, CYB5R4","0, -5072"
"89","chr2",190884232,190886021,1790,"*",0.000523432393342613,0.000523432393342613,5.8828786294405,"GLS","GLS, STAT1","3411, 134939"
"90","chr3",52444949,52445212,264,"*",-0.000522045625804129,0.000522045625804129,5.86713332533057,"SEMA3G","SEMA3G","0"
"91","chr9",131502759,131503774,1016,"*",0.000513248785040242,0.000513248785040242,5.76725434115315,"POMT1","POMT1","0"
"92","chr11",94401131,94401773,643,"*",0.000487790392487461,0.000487790392487461,5.47820075302859,"ANKRD49","GPR83","0"
"93","chr13",49109978,49110729,752,"*",0.000487790392487461,0.000487790392487461,5.47820075302859,"FNDC3A","FNDC3A, MLNR","134066, -109609"
"94","chr19",7595347,7596677,1331,"*",0.000482698830646139,0.000482698830646139,5.42039136006159,"CAMSAP3","CAMSAP3","0"
"95","chr20",32052122,32052657,536,"*",0.000472515833562414,0.000472515833562414,5.3047740115267,"HCK","HCK","0"
"96","chr19",12484087,12485190,1104,"*",0.000472515833562024,0.000472515833562024,5.30477401152228,"ZNF709","ZNF799, ZNF709","-43005, 66284"
"97","chr8",22231657,22232269,613,"*",0.000472515833561836,0.000472515833561836,5.30477401152014,"PHYHIP","PHYHIP","0"
