segment_id,average_shap_value,reliability_shap_value,shap_variance,z_score,avg_meth_R,avg_meth_S,diff,direction,mean_coef,annotated_genes,avg_depth
chr3:155079184-155079306,0.03916156546745475,0.03916156546745475,0.006440985345897396,3.7140955432025695,0.5700000000000001,0.03,0.54,M,0.006476397921901276,MME,24.819999999999997
chr3:112562963-112562985,0.033678177616762936,0.033678177616762936,0.0047796140262424775,3.1406516625697085,0.635,0.16,0.475,M,0.006476397921901295,ATG3,24.76
chr3:4532716-4533027,0.031836591993952695,0.031836591993952695,0.004273666591073167,2.9480616005829843,0.625,0.155,0.47,M,0.006525392861846852,ITPR1,22.1175
chr16:2672322-2672336,-0.02189707300935085,0.02189707300935085,0.0021657585519949795,1.9086026942729077,0.845,0.5,0.345,M,0.009425900171707198,PDPK1,10.11
chr19:47954857-47954975,0.01889842576259916,0.01889842576259916,0.001500921691173962,1.5950089889490389,0.67,0.29,0.38000000000000006,M,0.006476397921901292,SULT2A1,15.75
chr3:186845978-186846423,0.01629855489322976,0.01629855489322976,0.0011079222381869455,1.3231186756845084,0.72,0.265,0.45499999999999996,M,0.006411559852032675,ADIPOQ,19.18
chr3:179948480-179948598,0.014190958642587292,0.014190958642587292,0.0008287089592253831,1.1027096501542055,0.6799999999999999,0.12,0.5599999999999999,M,0.006371191905482772,PEX5L,19.2025
chr3:189851516-189851532,0.013983168023628818,0.013983168023628818,0.0008015606620150669,1.0809792414836574,0.79,0.405,0.385,M,0.006407682162901286,TP63,18.8
chr3:155181777-155183428,0.01397333243717548,0.01397333243717548,0.0008010484064192308,1.0799506516742767,0.7849999999999999,0.46499999999999997,0.31999999999999995,M,0.00638948385951921,MME,21.4375
chr8:119539145-119539873,-0.013873936269329706,0.013873936269329706,0.0007699444304216891,1.069555960333535,0.375,0.665,-0.29000000000000004,U,-0.009586840749769707,ENPP2,11.7
chr1:15795395-15795571,-0.002019163811021827,0.011533172681196475,0.0001425968750217808,0.8247626697305608,0.335,0.175,0.16000000000000003,M,0.008041444687370395,UQCRHL,21.872500000000002
