"","segment_id","annotated_genes","seqnames","start","end","width","strand","average_shap_value","reliability_shap_value","shap_variance","z_score","avg_meth_R","avg_meth_S","diff","direction","mean_coef","avg_depth","dist_to_TSS","baseMean","log2FoldChange","lfcSE","pvalue","padj","type","description","gene_members","gene_dist.to.feature","gene_feature.name","cgi_members","reg_members"
"1","chr17:44004488-44005412","PYY","chr17",44004488,44005412,925,"*",5.39685859717354e-05,0.000961948794576949,9.37097719077717e-07,3.35735312111301,0.0225,0.8775,-0.855,"U",-0.000831031897600033,3.4875,-19,23.9509794915861,-4.25525791977508,0.599697057755129,8.57210461004652e-14,4.06436887462447e-12,"protein_coding","peptide YY [Source:HGNC Symbol;Acc:HGNC:9748]","prom,exon,intron",0,"XM_011524439.2","CpGi,shores","enhP,prom"
"2","chr17:44004488-44005412","NAGS","chr17",44004488,44005412,925,"*",5.39685859717354e-05,0.000961948794576949,9.37097719077717e-07,3.35735312111301,0.0225,0.8775,-0.855,"U",-0.000831031897600033,3.4875,0,81.1024166562518,-2.46783570469302,0.321224198720407,3.26132017467918e-15,1.90626289837672e-13,"protein_coding","N-acetylglutamate synthase [Source:HGNC Symbol;Acc:HGNC:17996]","prom,exon,intron",0,"XM_011524439.2","CpGi,shores","enhP,prom"
"3","chr7:103653969-103655849","RELN","chr7",103653969,103655849,1881,"*",5.56807662413751e-05,0.000960615812272284,9.36067615893568e-07,3.35171635396394,0.9275,0,0.9275,"M",0.000830140198495498,4.0125,333809,6057.7129195308,5.92560646365854,0.939581016054738,1.80918463822033e-11,6.06047891402987e-10,"protein_coding","reelin [Source:HGNC Symbol;Acc:HGNC:9957]","exon,intron",119381,"XR_001745315.2","",""
"4","chr7:103653969-103655849","SLC26A5","chr7",103653969,103655849,1881,"*",5.56807662413751e-05,0.000960615812272284,9.36067615893568e-07,3.35171635396394,0.9275,0,0.9275,"M",0.000830140198495498,4.0125,-207762,6.96501451819098,5.40381282259912,0.788616266117603,4.92483535203039e-13,2.08329827533059e-11,"protein_coding","solute carrier family 26 member 5 [Source:HGNC Symbol;Acc:HGNC:9359]","exon,intron",119381,"XR_001745315.2","",""
"5","chr12:77718290-77720268","NAV3","chr12",77718290,77720268,1979,"*",5.88963429128098e-05,0.000953916351713274,9.15555889673281e-07,3.32338642110337,0,0.92,-0.92,"U",-0.000826101035728717,3.225,393649,36.1830839791267,-5.54148291538975,0.991379765268476,1.33895583073044e-09,3.3865548440747e-08,"protein_coding","neuron navigator 3 [Source:HGNC Symbol;Acc:HGNC:15998]","intron",-110626,"XM_047429825.1","","enhD"
"6","chr10:90233017-90234905","KIF20B","chr10",90233017,90234905,1889,"*",5.69967357629689e-05,0.000953435423328627,9.12647299834921e-07,3.32135272469934,0,0.87,-0.87,"U",-0.000826299352845698,2.53,531427,1953.66344561484,-0.74869475690939,0.36654519421306,0.00341284351199342,0.0169927557351601,"protein_coding","kinesin family member 20B [Source:HGNC Symbol;Acc:HGNC:7212]","",61211,"XR_946198.3","","enhD"
"7","chr10:90233017-90234905","HTR7","chr10",90233017,90234905,1889,"*",5.69967357629689e-05,0.000953435423328627,9.12647299834921e-07,3.32135272469934,0,0.87,-0.87,"U",-0.000826299352845698,2.53,623134,136.677356756823,-7.94569120318799,0.817641482155629,1.04488882812827e-23,1.45764313499068e-21,"protein_coding","5-hydroxytryptamine receptor 7 [Source:HGNC Symbol;Acc:HGNC:5302]","",61211,"XR_946198.3","","enhD"
"8","chr17:76537119-76537319","CYGB","chr17",76537119,76537319,201,"*",5.63112904549785e-05,0.000951713097164656,9.11247799355516e-07,3.31406954358953,0.015,0.91,-0.895,"U",-0.000823936639144928,13.4025,20333,2686.62438821067,5.67977703609181,0.437960730228769,1.59338574460021e-39,7.04411151429736e-37,"protein_coding","cytoglobin [Source:HGNC Symbol;Acc:HGNC:16505]","prom,intron",391,"NM_134268.5","shores",""
"9","chr17:76537119-76537319","PRCD","chr17",76537119,76537319,201,"*",5.63112904549785e-05,0.000951713097164656,9.11247799355516e-07,3.31406954358953,0.015,0.91,-0.895,"U",-0.000823936639144928,13.4025,9533,755.604239466804,4.43190808036262,0.355202075422977,7.11461009395305e-37,2.65849263844045e-34,"protein_coding","photoreceptor disc component [Source:HGNC Symbol;Acc:HGNC:32528]","prom,intron",391,"NM_134268.5","shores",""
"10","chr4:22030343-22032147","KCNIP4","chr4",22030343,22032147,1805,"*",5.68646970486382e-05,0.000950093783231769,9.08394902765692e-07,3.30722196913263,0,0.9175,-0.9175,"U",-0.00082299256756913,2.32625,-81571,97.4116335989845,3.10150165281105,0.775493987269977,4.23720685543895e-06,5.38887555828678e-05,"protein_coding","potassium voltage-gated channel interacting protein 4 [Source:HGNC Symbol;Acc:HGNC:30083]","",-81572,"NM_147181.4","",""
"11","chr4:22030343-22032147","ADGRA3","chr4",22030343,22032147,1805,"*",5.68646970486382e-05,0.000950093783231769,9.08394902765692e-07,3.30722196913263,0,0.9175,-0.9175,"U",-0.00082299256756913,2.32625,483919,3817.23035632214,-0.448242077422447,0.167192402010969,0.00292444343600709,0.0149450391679242,"protein_coding","adhesion G protein-coupled receptor A3 [Source:HGNC Symbol;Acc:HGNC:13839]","",-81572,"NM_147181.4","",""
"12","chr5:13714355-13716277","DNAH5","chr5",13714355,13716277,1923,"*",5.95401222336049e-05,0.000945592173004055,9.01274723374327e-07,3.28818606103343,0.015,0.8175,-0.8025,"U",-0.000818519582077248,3.02625,295541,51.0707957003401,-1.99588246641322,0.738078309430474,0.000204711516239974,0.00161373299762584,"protein_coding","dynein axonemal heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:2950]","exon,intron",109175,"XR_007058697.1","","CTCF"
"13","chr5:68288133-68288236","PIK3R1","chr5",68288133,68288236,104,"*",4.69378925627061e-05,0.000945218861075111,9.03860414097024e-07,3.28660744111472,0.065,0.9475,-0.8825,"U",-0.000817274716948321,21.04,72393,1428.29803954732,0.579850199856896,0.24507834733738,0.0034565528382668,0.0171613857145711,"protein_coding","phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]","prom,intron",-283,"NM_181524.2","shores","prom"
"14","chr5:68288133-68288236","SLC30A5","chr5",68288133,68288236,104,"*",4.69378925627061e-05,0.000945218861075111,9.03860414097024e-07,3.28660744111472,0.065,0.9475,-0.8825,"U",-0.000817274716948321,21.04,-805755,NA,NA,NA,NA,NA,NA,NA,"prom,intron",-283,"NM_181524.2","shores","prom"
