"","annotated_genes","seqnames","start","end","width","strand","startCpG","endCpG","target","region","lenCpG","bp","tg_mean","bg_mean","delta_means","delta_quants","delta_maxmin","ttest","direction","segment_id","dist_to_TSS","X","baseMean","log2FoldChange","lfcSE","pvalue","padj","RPMI8226_1_3b","JJN3_1_3b","OPM_4_1","MM1R_1_2","OPM_2_1","OPM_3_3","JJN3_4_2b","OPM_4_3","RPMI8226_4_1b","MM1R_3_1","MM1R_2_2","RPMI8226_2_3b","JJN3_2_2b","JJN3_3_3b","RPMI8226_3_2b","MM1R_4_2","type","description"
"257","ABCD2","chr12",39567764,39568246,483,"*",18148985,18148988,"R","chr12:39567764-39568246","3CpGs","482bp",0.477,0.806,0.329,0.269,0.261,0.0315,"U","chr12:39567764-39568246",51557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","ABCD3","chr1",94284659,94286021,1363,"*",1098581,1098592,"R","chr1:94284659-94286021","11CpGs","1362bp",0,0.593,0.593,0.573,0.571,0.00137,"U","chr1:94284659-94286021",-132368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","ABCD3","chr1",94327337,94328077,741,"*",1098888,1098904,"R","chr1:94327337-94328077","16CpGs","740bp",0.027,0.436,0.409,0.377,0.363,0.00646,"U","chr1:94327337-94328077",-90312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","ABCD3","chr1",94331901,94333650,1750,"*",1098926,1098947,"R","chr1:94331901-94333650","21CpGs","1749bp",0.164,0.742,0.577,0.529,0.512,0.00637,"U","chr1:94331901-94333650",-84739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","ABCD3","chr1",94368674,94370106,1433,"*",1099219,1099236,"R","chr1:94368674-94370106","17CpGs","1432bp",0.0587,0.5,0.441,0.428,0.414,0.00386,"U","chr1:94368674-94370106",-48283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","ABCD3","chr1",94399893,94400206,314,"*",1099454,1099457,"R","chr1:94399893-94400206","3CpGs","313bp",0.0769,0.606,0.529,0.433,0.392,0.0326,"U","chr1:94399893-94400206",-18183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","ABCD3","chr1",94404711,94404926,216,"*",1099483,1099488,"R","chr1:94404711-94404926","5CpGs","215bp",0.467,0.897,0.43,0.378,0.342,0.0282,"U","chr1:94404711-94404926",-13463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","ABCD3","chr1",94536022,94536072,51,"*",1100555,1100559,"R","chr1:94536022-94536072","4CpGs","50bp",0.279,0.875,0.596,0.498,0.455,0.0272,"U","chr1:94536022-94536072",117633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","ABCD4","chr14",74369322,74369511,190,"*",20428990,20428995,"R","chr14:74369322-74369511","5CpGs","189bp",0,0.427,0.427,0.401,0.4,0.00405,"U","chr14:74369322-74369511",-66267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","ABCD4","chr14",74357363,74357685,323,"*",20428785,20428804,"R","chr14:74357363-74357685","19CpGs","322bp",0.728,0.276,0.452,0.356,0.329,0.037,"M","chr14:74357363-74357685",-54308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424","ACAA2","chr18",50009434,50011235,1802,"*",24589164,24589182,"R","chr18:50009434-50011235","18CpGs","1801bp",0.173,0.785,0.612,0.487,0.421,0.049,"U","chr18:50009434-50011235",-195481,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"425","ACAA2","chr18",49901339,49903022,1684,"*",24588141,24588171,"R","chr18:49901339-49903022","30CpGs","1683bp",0.0793,0.803,0.724,0.714,0.71,0.000174,"U","chr18:49901339-49903022",-87386,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"426","ACAA2","chr18",50049644,50050943,1300,"*",24589478,24589487,"R","chr18:50049644-50050943","9CpGs","1299bp",0.112,0.684,0.572,0.476,0.439,0.0259,"U","chr18:50049644-50050943",-235691,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"427","ACAA2","chr18",50022273,50024091,1819,"*",24589268,24589285,"R","chr18:50022273-50024091","17CpGs","1818bp",0.149,0.871,0.722,0.652,0.585,0.032,"U","chr18:50022273-50024091",-208320,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"428","ACAA2","chr18",50181897,50183156,1260,"*",24590478,24590487,"R","chr18:50181897-50183156","9CpGs","1259bp",0.0958,0.775,0.679,0.641,0.625,0.00318,"U","chr18:50181897-50183156",-367944,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"429","ACAA2","chr18",49892353,49893162,810,"*",24588061,24588072,"R","chr18:49892353-49893162","11CpGs","809bp",0.232,0.962,0.729,0.681,0.667,0.00382,"U","chr18:49892353-49893162",-78400,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"430","ACAA2","chr18",49910722,49912696,1975,"*",24588243,24588263,"R","chr18:49910722-49912696","20CpGs","1974bp",0.197,0.849,0.652,0.509,0.447,0.0469,"U","chr18:49910722-49912696",-96769,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"431","ACAA2","chr18",49887286,49887529,244,"*",24588015,24588021,"R","chr18:49887286-49887529","6CpGs","243bp",0.492,0.957,0.465,0.378,0.33,0.0445,"U","chr18:49887286-49887529",-73333,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
