segment_id,average_shap_value,reliability_shap_value,shap_variance,z_score,avg_meth_R,avg_meth_S,diff,direction,mean_coef,annotated_genes,avg_depth
chr7:157428342-157428390,-0.0035910946571579834,0.0035910946571579834,5.6805018642209517e-05,5.747675362917516,0.46499999999999997,0.0,0.46499999999999997,M,-0.0008282826427374419,DNAJB6,24.959999999999997
chr16:683509-683660,-0.002912035592328186,0.002912035592328186,3.837892126496838e-05,4.56621544098641,0.51,0.98,-0.47,U,0.0008282826427372318,STUB1,30.955
chr21:41277521-41277861,-0.0028118301652513837,0.0028118301652513837,3.583732387399731e-05,4.391873175073347,0.505,0.92,-0.41500000000000004,U,0.0008282826427372318,BACE2,18.6175
chr4:107056721-107057968,0.00276697698472416,0.00276697698472416,3.3034731284842864e-05,4.3138354344574585,0.0,0.515,-0.515,U,0.0005195452147428569,DKK2,13.8925
chr12:29232812-29232821,-0.0026299136692848587,0.0026299136692848587,3.0755341625611446e-05,4.075366025321269,0.575,0.97,-0.395,U,0.0008282826427374991,FAR2,13.39
chr6:7896013-7897492,-0.002517961913336792,0.002517961913336792,2.820200842338521e-05,3.8805869262813277,0.54,0.02,0.52,M,-0.0008282826427373359,BMP6,32.8725
chr6:135224240-135224724,-0.002510461438109242,0.002510461438109242,2.8034527662072357e-05,3.8675372354138497,0.425,0.01,0.415,M,-0.0008282826427373899,MYB,12.4925
chr17:8058593-8058626,-0.002483683215835046,0.002483683215835046,2.7440261243336488e-05,3.820947184509434,0.55,0.07,0.48000000000000004,M,-0.0008282826427373899,ALOX15B,28.7725
chr5:68288796-68288853,-0.0023892924274260072,0.0023892924274260072,2.53913052228622e-05,3.656721509188083,0.575,0.01,0.565,M,-0.0008282826427373899,PIK3R1,32.38
chr9:77720767-77721304,0.002362206366750824,0.002362206366750824,2.4221286538953257e-05,3.6095958660914196,0.0,0.54,-0.54,U,0.0005195452147428993,GNAQ,10.7
chr9:137146030-137146116,-0.002340578360449309,0.002340578360449309,2.4361765551563022e-05,3.571966410923307,0.435,0.01,0.425,M,-0.0008282826427373376,GRIN1,36.6875
