"","segment_id","annotated_genes","seqnames","start","end","width","strand","average_shap_value","reliability_shap_value","shap_variance","z_score","avg_meth_R","avg_meth_S","diff","direction","mean_coef","avg_depth","dist_to_TSS","baseMean","log2FoldChange","lfcSE","pvalue","padj","type","description","gene_members","gene_dist.to.feature","gene_feature.name","cgi_members","reg_members"
"1","chr5:68288133-68288236","PIK3R1","chr5",68288133,68288236,104,"*",4.69144475971739e-05,0.000945187734731468,9.03794323928656e-07,3.28662615257277,0.065,0.9475,-0.8825,"U",-0.000817249756237459,21.04,72393,1428.29803954732,0.579850199856896,0.24507834733738,0.0034565528382668,0.0171613857145711,"protein_coding","phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]","prom,intron",-283,"NM_181524.2","shores","prom"
"2","chr1:203364585-203364658","FMOD","chr1",203364585,203364658,74,"*",4.32343501264658e-05,0.000942774137419576,9.01327358195915e-07,3.27641947513206,0.0175,0.8925,-0.875,"U",-0.000814305495960309,22.5425,-12827,27.0942386278794,-1.76555256696824,1.18404033428125,0.00449808308328726,0.0211768159319365,"protein_coding","fibromodulin [Source:HGNC Symbol;Acc:HGNC:3774]","",-8325,"XR_922440.3","","enhD"
"3","chr21:29256906-29257700","BACH1","chr21",29256906,29257700,795,"*",4.15291671881439e-05,0.000940670159783887,8.97386138422101e-07,3.26752212470656,0.1575,0.935,-0.7775,"U",-0.00081292358518014,23.9675,62759,1297.04015006964,-1.40528330315806,0.232976159250488,3.77461451018082e-11,1.20281827660463e-09,"protein_coding","BTB domain and CNC homolog 1 [Source:HGNC Symbol;Acc:HGNC:935]","intron",30381,"XR_007067841.1","",""
"4","chrX:130124908-130125627","AIFM1","chrX",130124908,130125627,720,"*",6.41886107710018e-05,0.00093699204550334,8.82125241204794e-07,3.25196802797855,0.0475,0.93,-0.8825,"U",-0.000811895812019594,15.105,40252,NA,NA,NA,NA,NA,NA,NA,"intron",12414,"NM_001130846.4","","enhD"
"5","chr10:1009045-1009625","IDI2","chr10",1009045,1009625,581,"*",5.17149660839119e-05,0.000933254326437784,8.78379374591758e-07,3.23616187312489,0.04,0.9225,-0.8825,"U",-0.000807582167859509,16.41875,16234,NA,NA,NA,NA,NA,NA,NA,"exon,intron",-13012,"NR_024629.1","","enhD"
"6","chr6:106194117-106194389","ATG5","chr6",106194117,106194389,273,"*",4.57391669683938e-05,0.000933077224511083,8.86146803246651e-07,3.23541294030538,0.09,0.94,-0.85,"U",-0.000805679071779561,25.56875,131402,853.368634584794,-0.620715543234869,0.172606578370613,5.37474328595168e-05,0.000503739749953572,"protein_coding","autophagy related 5 [Source:HGNC Symbol;Acc:HGNC:589]","intron",86449,"XM_047419574.1","",""
"7","chr5:53490423-53491919","FST","chr5",53490423,53491919,1497,"*",5.74003589154785e-05,0.000925523708928835,8.71765253494011e-07,3.20347045482466,0.035,0.8025,-0.7675,"U",-0.000799166287554928,16.2275,9797,511.294484075316,-11.3150411264294,1.38642637100383,6.70771024008663e-21,7.06515466496104e-19,"protein_coding","follistatin [Source:HGNC Symbol;Acc:HGNC:3971]","",8092,"XM_024454326.2","","enhD"
"8","chr4:113628447-113628669","CAMK2D","chr4",113628447,113628669,223,"*",4.89708212553804e-05,0.000923540378849974,8.65464401591391e-07,3.19508330164311,0.0325,0.945,-0.9125,"U",-0.000798463902897981,24.12125,133258,1402.47376618463,-0.507764199816656,0.237828725030243,0.00900444060972582,0.0368345343226996,"protein_coding","calcium/calmodulin dependent protein kinase II delta [Source:HGNC Symbol;Acc:HGNC:1462]","intron",-79774,"XM_011532292.3","",""
"9","chr2:156319809-156320103","NR4A2","chr2",156319809,156320103,295,"*",5.34088580051656e-05,0.000922869860931206,8.57721753551123e-07,3.19224779959753,0.1325,0.945,-0.8125,"U",-0.000800167936841988,16.7925,22245,208.340341872958,-3.17083223896024,1.2880229537748,0.000305009878134985,0.00226946806400387,"protein_coding","nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]","",12362,"XM_047444557.1","CpGi","enhP"
"10","chr16:88650537-88651549","CYBA","chr16",88650537,88651549,1013,"*",4.70161863493033e-05,0.00092227884220974,8.53744151631111e-07,3.18974848563919,0.0125,0.94,-0.9275,"U",-0.000800197233846157,14.1475,0,1490.44183334345,6.93385209562171,0.645152050296433,4.4174425288532e-28,8.61209230407728e-26,"protein_coding","cytochrome b-245 alpha chain [Source:HGNC Symbol;Acc:HGNC:2577]","prom,exon,intron",0,"NM_000101.4","CpGi,shores","enhP,prom"
"11","chr19:49712439-49713296","CPT1C","chr19",49712439,49713296,858,"*",5.5701474118077e-05,0.000917612216252201,8.44582568438728e-07,3.17001414733413,0.0225,0.8525,-0.83,"U",-0.000796280499336443,17.14875,21541,NA,NA,NA,NA,NA,NA,NA,"exon,intron",15059,"XM_047438162.1","","enhD"
"12","chr4:109911468-109913435","EGF","chr4",109911468,109913435,1968,"*",4.59529468130001e-05,0.000917221693244901,8.5133177300274e-07,3.16836269439744,0.015,0.74,-0.725,"U",-0.000792936777745108,17.64,0,37.478833272762,-6.33669583519601,2.7686444872596,7.61440539338514e-05,0.000688962111523703,"protein_coding","epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]","prom,exon",0,"NM_001963.6","","prom"
"13","chr15:48530495-48530554","FBN1","chr15",48530495,48530554,60,"*",3.46089491458246e-05,0.000914714207428089,8.46314357184915e-07,3.15775897902485,0.115,0.97,-0.855,"U",-0.000791660259614513,23.42875,115167,7063.69909407192,-3.12241072372962,0.801266939537599,6.05672273306801e-06,7.38571923642342e-05,"protein_coding","fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]","exon,intron",4246,"XR_007064628.1","","enhP"
"14","chr7:16953832-16954026","AHR","chr7",16953832,16954026,195,"*",5.13088971389503e-05,0.000910972504982397,8.36711673308763e-07,3.14193597915899,0.03,0.8875,-0.8575,"U",-0.000788753435674242,28.06125,-178164,NA,NA,NA,NA,NA,NA,NA,"",17730,"XR_007060229.1","",""
"15","chr15:40307479-40307683","PLCB2","chr15",40307479,40307683,205,"*",4.47037530696745e-05,0.000910742800730958,8.35257845345472e-07,3.14096460038356,0.91,0.0825,0.8275,"M",0.000789587737211215,19.21125,252,NA,NA,NA,NA,NA,NA,NA,"prom,exon,intron",253,"XM_047432679.1","","enhP"
"16","chr21:29250133-29250776","BACH1","chr21",29250133,29250776,644,"*",4.10935877797752e-05,0.000908968660859425,8.3660202426831e-07,3.13346207570215,0.04,0.8825,-0.8425,"U",-0.000785931524616049,20.24125,55986,1297.04015006964,-1.40528330315806,0.232976159250488,3.77461451018082e-11,1.20281827660463e-09,"protein_coding","BTB domain and CNC homolog 1 [Source:HGNC Symbol;Acc:HGNC:935]","intron",37305,"XR_007067841.1","",""
"17","chr4:109939366-109939536","EGF","chr4",109939366,109939536,171,"*",6.63537973533802e-05,0.000908616002013794,8.28663675011707e-07,3.13197074362855,0.0125,0.9025,-0.89,"U",-0.000788404201741513,21.63875,26483,37.478833272762,-6.33669583519601,2.7686444872596,7.61440539338514e-05,0.000688962111523703,"protein_coding","epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]","intron",26485,"NM_001963.6","",""
"18","chr2:10814871-10815355","PDIA6","chr2",10814871,10815355,485,"*",3.52899846173906e-05,0.000907118652620595,8.29562847588156e-07,3.12563871707337,0.04,0.8375,-0.7975,"U",-0.000785799826010276,24.145,22622,NA,NA,NA,NA,NA,NA,NA,"intron",-2087,"XM_011510308.2","shores","enhP"
"19","chr12:131912879-131913110","ULK1","chr12",131912879,131913110,232,"*",3.75592172393816e-05,0.000906791131644258,8.31394532072144e-07,3.12425368861644,0.0775,0.775,-0.6975,"U",-0.000785156788304408,19.50125,18257,NA,NA,NA,NA,NA,NA,NA,"intron",15246,"XR_001749414.2","","enhD"
"20","chrX:21994853-21995219","SMS","chrX",21994853,21995219,367,"*",6.94060013278478e-05,0.000905262750569535,8.23739996761523e-07,3.11779043455192,0.0275,0.93,-0.9025,"U",-0.000784892388900275,13.79375,54144,4066.79644811547,-0.836027387106231,0.259986073074026,6.10889243297847e-05,0.00056528866652809,"protein_coding","spermine synthase [Source:HGNC Symbol;Acc:HGNC:11123]","",34999,"XM_005274582.3","","enhD"
"21","chr2:33108625-33108771","LTBP1","chr2",33108625,33108771,147,"*",3.12589771090126e-05,0.000904279457475914,8.28340651241246e-07,3.11363226144375,0.01,0.9575,-0.9475,"U",-0.000782153375243503,25.16875,161672,2615.38000313489,-5.58194152363727,0.67405151822762,9.16276019787433e-18,6.93013776122601e-16,"protein_coding","latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:HGNC:6714]","intron",-25598,"NM_001394916.1","","enhD"
"22","chr2:33306307-33306812","LTBP1","chr2",33306307,33306812,506,"*",4.8583582581915e-05,0.000903904302080081,8.22226621206741e-07,3.11204579542618,0.2925,0.965,-0.6725,"U",-0.000783790344919074,23.1325,359354,2615.38000313489,-5.58194152363727,0.67405151822762,9.16276019787433e-18,6.93013776122601e-16,"protein_coding","latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:HGNC:6714]","intron",-111704,"NR_039628.1","",""
"23","chr16:83777440-83777487","HSBP1","chr16",83777440,83777487,48,"*",6.60805384104296e-05,0.0009026578182108,8.30529306316014e-07,3.10677463493635,0.1075,0.885,-0.7775,"U",-0.000779748054140393,15.41375,58129,NA,NA,NA,NA,NA,NA,NA,"intron",-4492,"NR_188500.1","",""
"24","chr21:44804541-44805055","UBE2G2","chr21",44804541,44805055,515,"*",4.50500965823513e-05,0.000902640649274877,8.27454174827958e-07,3.10670203053374,0.0375,0.9375,-0.9,"U",-0.000780347379753158,19.96875,-2715,7632.3081479098,0.596971180382041,0.111717831438131,1.86374021054853e-08,3.87411110786075e-07,"protein_coding","ubiquitin conjugating enzyme E2 G2 [Source:HGNC Symbol;Acc:HGNC:12483]","exon",2302,"NR_109928.1","shores","enhD"
"25","chr9:134338615-134338733","RXRA","chr9",134338615,134338733,119,"*",5.59119876774202e-05,0.000902608177250143,8.21210196410921e-07,3.10656471206696,0.075,0.905,-0.83,"U",-0.000781800136035066,21.36625,21517,NA,NA,NA,NA,NA,NA,NA,"intron",12162,"NM_002957.6","shores","enhD"
"26","chr1:94445694-94446543","ABCD3","chr1",94445694,94446543,850,"*",4.5204279501993e-05,0.000901250716512141,8.22318646706882e-07,3.10082424996793,0.0375,0.96,-0.9225,"U",-0.000780903636026598,23.21625,27305,NA,NA,NA,NA,NA,NA,NA,"exon,intron",17594,"XM_047426546.1","",""
"27","chr2:23698366-23699343","UBXN2A","chr2",23698366,23699343,978,"*",4.48975163330806e-05,0.000899287277897882,8.17889778196709e-07,3.09252121428271,0.0325,0.86,-0.8275,"U",-0.000779248125928465,2.86,-227942,1349.10303000654,0.61115542699192,0.205468821982699,0.00049869390285487,0.0034229180456612,"protein_coding","UBX domain protein 2A [Source:HGNC Symbol;Acc:HGNC:27265]","intron",55586,"XM_011532501.3","","enhD"
"28","chr16:83752439-83753378","HSBP1","chr16",83752439,83753378,940,"*",3.97822756961853e-05,0.000896618029256352,8.14569336175648e-07,3.08123343244813,0.04,0.6675,-0.6275,"U",-0.000776989332493664,15.07375,33128,NA,NA,NA,NA,NA,NA,NA,"intron",19572,"NR_188499.1","",""
"29","chr10:1027233-1027381","IDI2","chr10",1027233,1027381,149,"*",5.47190591776779e-05,0.000894178914303814,8.20787709075613e-07,3.07091884540467,0.155,0.95,-0.795,"U",-0.000771079760024763,23.40375,-1374,NA,NA,NA,NA,NA,NA,NA,"intron",-1375,"NM_033261.3","",""
"30","chr5:53506204-53507518","FST","chr5",53506204,53507518,1315,"*",4.57486995599646e-05,0.000891729979964328,8.03643566166996e-07,3.06056273390526,0.0125,0.8625,-0.85,"U",-0.000772723816633805,6.62375,25578,511.294484075316,-11.3150411264294,1.38642637100383,6.70771024008663e-21,7.06515466496104e-19,"protein_coding","follistatin [Source:HGNC Symbol;Acc:HGNC:3971]","",23873,"XM_024454326.2","","CTCF"
