"","seqnames","start","end","width","strand","startCpG","endCpG","target","region","lenCpG","bp","tg_mean","bg_mean","delta_means","delta_quants","delta_maxmin","ttest","direction","annotated_genes","dist_to_TSS"
"1","chr1",1173935,1173985,51,"*",20908,20914,"R","chr1:1173935-1173985","6CpGs","50bp",0.562,0.918,0.355,0.316,0.284,0.0301,"U","TTLL10","55"
"2","chr1",1208143,1208278,136,"*",22083,22091,"R","chr1:1208143-1208278","8CpGs","135bp",0.34,0.802,0.462,0.376,0.368,0.0341,"U","TNFRSF18","-1551"
"3","chr1",1212196,1212290,95,"*",22259,22263,"R","chr1:1212196-1212290","4CpGs","94bp",0.388,0.964,0.577,0.537,0.529,0.00428,"U","TNFRSF18, TNFRSF4","-5604, 1863"
"4","chr1",1411797,1412371,575,"*",30750,30771,"R","chr1:1411797-1412371","21CpGs","574bp",0.603,0.926,0.323,0.291,0.259,0.0372,"U","MRPL20, ANKRD65","-4504, 9398"
"5","chr1",1659837,1659844,8,"*",40415,40418,"R","chr1:1659837-1659844","3CpGs","7bp",0.375,0.843,0.468,0.393,0.369,0.0221,"U","CDK11B","-825"
"6","chr1",3184584,3184634,51,"*",85145,85148,"R","chr1:3184584-3184634","3CpGs","50bp",0.414,0.917,0.502,0.416,0.405,0.0272,"U","LOC124903827, ARHGEF16","-115496, -270031"
"7","chr1",3287504,3287566,63,"*",88330,88338,"R","chr1:3287504-3287566","8CpGs","62bp",0.475,1,0.525,0.512,0.5,0.00226,"U","LOC124903827, ARHGEF16","-218416, -167099"
"8","chr1",3703440,3703510,71,"*",100761,100767,"R","chr1:3703440-3703510","6CpGs","70bp",0.127,0.608,0.481,0.402,0.39,0.0241,"U","WRAP73, CCDC27","-50679, -42950"
"9","chr1",3932172,3932539,368,"*",106609,106621,"R","chr1:3932172-3932539","12CpGs","367bp",0.56,0.874,0.314,0.283,0.253,0.0341,"U","C1orf174, AJAP1","-31879, -722070"
"10","chr1",4022151,4022524,374,"*",108180,108186,"R","chr1:4022151-4022524","6CpGs","373bp",0.133,0.577,0.444,0.39,0.372,0.0129,"U","C1orf174, AJAP1","-121858, -632085"
"11","chr1",4213081,4213176,96,"*",110964,110967,"R","chr1:4213081-4213176","3CpGs","95bp",0.388,0.832,0.444,0.379,0.369,0.0201,"U","C1orf174, AJAP1","-312788, -441433"
"12","chr1",5358900,5359282,383,"*",124806,124811,"R","chr1:5358900-5359282","5CpGs","382bp",0.45,0.837,0.387,0.313,0.286,0.0327,"U","AJAP1, KCNAB2","704291, -631645"
"13","chr1",6454887,6454986,100,"*",146884,146901,"R","chr1:6454887-6454986","17CpGs","99bp",0.139,0.662,0.522,0.502,0.486,0.00365,"U","HES2, TNFRSF25","-30217, 11189"
"14","chr1",6482271,6482502,232,"*",147868,147877,"R","chr1:6482271-6482502","9CpGs","231bp",0.262,0.644,0.382,0.32,0.298,0.0232,"U","TNFRSF25, PLEKHG5","-16096, 37572"
"15","chr1",6491180,6491478,299,"*",148179,148185,"R","chr1:6491180-6491478","6CpGs","298bp",0.276,0.818,0.542,0.417,0.374,0.0449,"U","TNFRSF25, PLEKHG5","-25005, 28596"
"16","chr1",6564331,6564490,160,"*",149863,149868,"R","chr1:6564331-6564490","5CpGs","159bp",0.424,0.768,0.344,0.289,0.25,0.048,"U","NOL9, ZBTB48","-9818, -15504"
"17","chr1",7458106,7458243,138,"*",164250,164254,"R","chr1:7458106-7458243","4CpGs","137bp",0.258,0.857,0.599,0.585,0.571,0.0021,"U","CAMTA1, VAMP3","672652, -313053"
"18","chr1",7669523,7669782,260,"*",168031,168038,"R","chr1:7669523-7669782","7CpGs","259bp",0.0333,0.411,0.378,0.316,0.297,0.0227,"U","CAMTA1, VAMP3","884069, -101514"
"19","chr1",9385091,9385167,77,"*",196634,196639,"R","chr1:9385091-9385167","5CpGs","76bp",0.171,0.807,0.636,0.525,0.506,0.0264,"U","SPSB1, SLC25A33","92197, -154298"
"20","chr1",9997626,9997887,262,"*",209075,209108,"R","chr1:9997626-9997887","33CpGs","261bp",0.164,0.641,0.478,0.444,0.417,0.0122,"U","RBP7","420"
"21","chr1",13389192,13389213,22,"*",263196,263200,"R","chr1:13389192-13389213","4CpGs","21bp",0.208,0.733,0.525,0.441,0.417,0.0217,"U","PRAMEF17","-419"
"22","chr1",14165226,14166188,963,"*",273247,273262,"R","chr1:14165226-14166188","15CpGs","962bp",0.178,0.717,0.539,0.478,0.446,0.0158,"U","KAZN, TMEM51","272434, -986344"
"23","chr1",14177126,14178037,912,"*",273390,273398,"R","chr1:14177126-14178037","8CpGs","911bp",0.261,0.588,0.327,0.256,0.224,0.0475,"U","KAZN, TMEM51","284334, -974495"
"24","chr1",14353508,14355086,1579,"*",274831,274840,"R","chr1:14353508-14355086","9CpGs","1578bp",0.556,0.955,0.398,0.333,0.309,0.0241,"U","KAZN, TMEM51","460716, -797446"
"25","chr1",14436097,14436516,420,"*",275664,275673,"R","chr1:14436097-14436516","9CpGs","419bp",0.31,0.615,0.306,0.263,0.25,0.0165,"U","KAZN, TMEM51","543305, -716016"
"26","chr1",14436696,14437391,696,"*",275674,275682,"R","chr1:14436696-14437391","8CpGs","695bp",0.544,0.888,0.344,0.302,0.278,0.0197,"U","KAZN, TMEM51","543904, -715141"
"27","chr1",14437422,14438618,1197,"*",275682,275701,"R","chr1:14437422-14438618","19CpGs","1196bp",0.142,0.746,0.605,0.536,0.509,0.0124,"U","KAZN, TMEM51","544630, -713914"
"28","chr1",14495695,14496096,402,"*",276258,276265,"R","chr1:14495695-14496096","7CpGs","401bp",0.525,0.968,0.443,0.385,0.357,0.0197,"U","KAZN, TMEM51","602903, -656436"
"29","chr1",14542282,14542866,585,"*",276798,276806,"R","chr1:14542282-14542866","8CpGs","584bp",0.0333,0.738,0.705,0.552,0.528,0.0412,"U","KAZN, TMEM51","649490, -609666"
"30","chr1",14773534,14773797,264,"*",279840,279847,"R","chr1:14773534-14773797","7CpGs","263bp",0.24,0.729,0.489,0.464,0.458,0.0022,"U","KAZN, TMEM51","880742, -378735"
"31","chr1",14876729,14877309,581,"*",281330,281336,"R","chr1:14876729-14877309","6CpGs","580bp",0.075,0.585,0.51,0.423,0.383,0.0304,"U","KAZN, TMEM51","983937, -275223"
"32","chr1",15738321,15738383,63,"*",296278,296281,"R","chr1:15738321-15738383","3CpGs","62bp",0.5,0.876,0.376,0.358,0.357,0.00249,"U","TMEM82","-4116"
"33","chr1",16368482,16368740,259,"*",308465,308470,"R","chr1:16368482-16368740","5CpGs","258bp",0.19,0.517,0.327,0.252,0.232,0.043,"U","EPHA2, CROCC","-212413, -371533"
"34","chr1",17305149,17305515,367,"*",323972,323977,"R","chr1:17305149-17305515","5CpGs","366bp",0.101,0.464,0.363,0.324,0.317,0.0103,"U","SDHB, ARHGEF10L","-251117, -234183"
"35","chr1",17310925,17311092,168,"*",324060,324069,"R","chr1:17310925-17311092","9CpGs","167bp",0.464,0.887,0.423,0.411,0.406,0.000813,"U","SDHB, ARHGEF10L","-256893, -228606"
"36","chr1",18006408,18006796,389,"*",335023,335029,"R","chr1:18006408-18006796","6CpGs","388bp",0.638,0.975,0.337,0.286,0.258,0.0302,"U","ACTL8, IGSF21","251075, -101002"
"37","chr1",18865392,18865567,176,"*",346679,346682,"R","chr1:18865392-18865567","3CpGs","175bp",0.31,0.762,0.452,0.35,0.333,0.044,"U","TAS1R2, ALDH4A1","-5732, 37157"
"38","chr1",19437057,19437383,327,"*",355991,355994,"R","chr1:19437057-19437383","3CpGs","326bp",0.422,0.837,0.414,0.321,0.306,0.0435,"U","AKR7A2, MICOS10","-124913, -47020"
"39","chr1",19439454,19439548,95,"*",356046,356049,"R","chr1:19439454-19439548","3CpGs","94bp",0.33,0.775,0.445,0.399,0.375,0.013,"U","AKR7A2, MICOS10","-127310, -44855"
"40","chr1",19830300,19830334,35,"*",361955,361958,"R","chr1:19830300-19830334","3CpGs","34bp",0.136,0.854,0.718,0.63,0.561,0.035,"U","RNF186, OTUD3","-15017, -52061"
"41","chr1",19857529,19859079,1551,"*",362262,362269,"R","chr1:19857529-19859079","7CpGs","1550bp",0.494,0.905,0.412,0.362,0.332,0.0211,"U","RNF186, OTUD3","-42246, -23316"
"42","chr1",21917157,21917262,106,"*",392878,392883,"R","chr1:21917157-21917262","5CpGs","105bp",0.477,0.82,0.342,0.286,0.273,0.0224,"U","LDLRAD2, HSPG2","104892, 20048"
"43","chr1",23217676,23217706,31,"*",412157,412162,"R","chr1:23217676-23217706","5CpGs","30bp",0.335,0.909,0.574,0.463,0.434,0.031,"U","HTR1D","-174"
"44","chr1",24873229,24873884,656,"*",437773,437776,"R","chr1:24873229-24873884","3CpGs","655bp",0.5,0.83,0.33,0.288,0.286,0.0178,"U","CLIC4, RUNX3","127847, 91237"
"45","chr1",27875318,27875486,169,"*",487429,487433,"R","chr1:27875318-27875486","4CpGs","168bp",0,0.354,0.354,0.334,0.333,0.00344,"U","THEMIS2, RPA2","2775, 39260"
"46","chr1",27953342,27953608,267,"*",488668,488672,"R","chr1:27953342-27953608","4CpGs","266bp",0.586,1,0.414,0.407,0.4,0.00119,"U","SMPDL3B, XKR8","18342, -5980"
"47","chr1",32339592,32339807,216,"*",549500,549503,"R","chr1:32339592-32339807","3CpGs","215bp",0.333,0.806,0.472,0.446,0.444,0.00344,"U","MARCKSL1","-3359"
"48","chr1",32351058,32351087,30,"*",549691,549694,"R","chr1:32351058-32351087","3CpGs","29bp",0.0982,0.75,0.652,0.591,0.575,0.00749,"U","TSSK3","-2367"
"49","chr1",34092877,34093047,171,"*",572679,572682,"R","chr1:34092877-34093047","3CpGs","170bp",0.472,0.929,0.456,0.375,0.357,0.0271,"U","HMGB4, C1orf94","232402, -73836"
"50","chr1",34956891,34957368,478,"*",581077,581082,"R","chr1:34956891-34957368","5CpGs","477bp",0.536,0.842,0.306,0.28,0.262,0.0141,"U","DLGAP3, TMEM35B","-27241, 27979"
"51","chr1",36557902,36558100,199,"*",602999,603002,"R","chr1:36557902-36558100","3CpGs","198bp",0.633,1,0.367,0.35,0.333,0.00816,"U","CSF3R, GRIK3","-74624, 476415"
"52","chr1",37050728,37051355,628,"*",608800,608809,"R","chr1:37050728-37051355","9CpGs","627bp",0.365,0.796,0.431,0.348,0.306,0.0425,"U","GRIK3, ZC3H12A","-16213, -423225"
"53","chr1",37160631,37161253,623,"*",609892,609896,"R","chr1:37160631-37161253","4CpGs","622bp",0.41,0.9,0.49,0.378,0.356,0.0436,"U","GRIK3, ZC3H12A","-126116, -313327"
"54","chr1",38597031,38597265,235,"*",627784,627789,"R","chr1:38597031-38597265","5CpGs","234bp",0.422,0.825,0.403,0.32,0.306,0.0357,"U","POU3F1, MYCBP","-550238, 276103"
"55","chr1",40101201,40101524,324,"*",648752,648756,"R","chr1:40101201-40101524","4CpGs","323bp",0.514,0.838,0.324,0.271,0.235,0.0462,"U","PPT1","-3941"
"56","chr1",41516947,41517090,144,"*",666338,666342,"R","chr1:41516947-41517090","4CpGs","143bp",0.118,0.458,0.34,0.297,0.292,0.0151,"U","EDN2, HIVEP3","-32264, 518835"
"57","chr1",43256766,43257148,383,"*",684959,684962,"R","chr1:43256766-43257148","3CpGs","382bp",0.414,1,0.586,0.579,0.571,0.000594,"U","CFAP57, TMEM125","84436, -12835"
"58","chr1",43390482,43390616,135,"*",687046,687050,"R","chr1:43390482-43390616","4CpGs","134bp",0.0625,0.547,0.485,0.445,0.413,0.0165,"U","SZT2, MED8","600, -674"
"59","chr1",44507670,44507698,29,"*",702082,702085,"R","chr1:44507670-44507698","3CpGs","28bp",0.183,0.646,0.462,0.434,0.425,0.00331,"U","RNF220, ARMH1","102476, -166994"
"60","chr1",47604482,47606313,1832,"*",740664,740670,"R","chr1:47604482-47606313","6CpGs","1831bp",0.0888,0.422,0.333,0.294,0.275,0.0158,"U","FOXD2, TRABD2B","166438, 391072"
"61","chr1",51312961,51313512,552,"*",768900,768907,"R","chr1:51312961-51313512","7CpGs","551bp",0.322,0.964,0.642,0.547,0.484,0.0372,"U","RNF11, TTC39A","76688, 31604"
"62","chr1",59961671,59963154,1484,"*",852131,852134,"R","chr1:59961671-59963154","3CpGs","1483bp",0.6,0.95,0.35,0.302,0.3,0.0198,"U","CYP2J2, C1orf87","-34898, 110616"
